rank,date,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation
37,2023-08-15,2023,8,Phase_2_pleine,Pleine saison,227,246,54.667,28.37052596099977,63.57,13.914947509765623,8.045035759747222,3.213517089394597,5.897,0.9415051407225592,14.828,-14.044,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.375,-16.125,Sédhiou,Goudomp,4.25,5.25,473.11,564.9668917023592,12,28,3,0.0043919189394524,736.8993494499946,2.9486112623293006,PASSED
41,2008-07-20,2008,7,Phase_2_pleine,Pleine saison,202,243,54.0,25.488003758246027,51.539,9.15750217437744,8.106823302309714,3.2699892396129746,5.251,0.7980595950214606,14.272,-13.037,Tambacounda,Goudiry,Zone soudano-sahélienne,12.375,-11.625,Kédougou,Saraya,4.25,5.25,473.11,566.3934589671497,9,22,3,0.0045315427147348,737.9936401221709,2.62532945235918,PASSED
43,2002-08-10,2002,8,Phase_2_pleine,Pleine saison,222,241,53.556,27.53853188115037,52.213,10.349971771240234,9.065238150064534,2.948066411779701,5.287,0.8336131356119728,14.445,-14.356,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.625,-12.875,Kédougou,Salémata,4.25,5.75,473.11,619.8554638763,14,35,3,0.0045990122992435,779.778082916738,2.6435059420546168,PASSED
50,2023-07-03,2023,7,Phase_2_pleine,Pleine saison,184,235,52.222,16.12308751877318,33.705,3.964808702468872,5.304053667351803,3.1604319062625703,6.806,0.980458382071888,14.909,-13.777,Matam,Ranérou,Zone soudano-sahélienne,13.875,-14.375,Tambacounda,Koumpentoum,4.0,5.25,445.28,564.7561993092024,10,24,3,0.0047158423707064,719.182762521583,3.4030602819700437,PASSED
53,1995-07-20,1995,7,Phase_2_pleine,Pleine saison,201,232,51.556,31.65186410936816,75.299,10.141972541809082,14.432962085083794,5.05442034583534,11.71,2.431188485100899,15.055,-14.376,Matam,Ranérou,Zone soudano-sahélienne,15.125,-14.125,Matam,Ranérou,4.0,5.75,445.28,618.1198780535045,13,28,3,0.0052065849279281,761.8047419745294,5.854834072100866,PASSED
58,2005-07-15,2005,7,Phase_2_pleine,Pleine saison,196,225,50.0,22.436186849806045,48.145,5.009181022644043,8.828696595037638,2.935702872009735,5.997,0.7869978993507805,14.107,-14.693,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.375,-16.375,Ziguinchor,Oussouye,4.25,5.5,473.11,593.7964814841886,13,36,3,0.0051326411193472,759.2281105985224,2.9983510120582477,PASSED
61,2021-08-30,2021,8,Phase_2_pleine,Pleine saison,242,222,49.333,28.59991760082073,57.592,13.757353782653809,9.171813961565835,2.497759666200448,3.7,0.3158828240448714,13.916,-14.569,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.375,-16.125,Sédhiou,Goudomp,4.25,5.75,473.11,621.3017021778693,13,33,3,0.0049677678465014,780.9282090109934,1.8498355397077644,PASSED
67,1985-07-27,1985,7,Phase_2_pleine,Pleine saison,208,217,48.222,30.23897319565171,62.448,9.895365715026855,10.191191616142492,3.519560091498726,6.854,1.0001507161872438,14.54,-13.309,Tambacounda,Goudiry,Zone soudano-sahélienne,14.375,-11.875,Tambacounda,Bakel,4.25,5.75,473.11,619.5891143000985,12,27,3,0.0051317219303819,779.5663750183049,3.426804568572701,PASSED
74,2017-07-29,2017,7,Phase_2_pleine,Pleine saison,210,213,47.333,25.995099233349723,53.288,9.675334930419922,9.358821264772988,2.754236850585648,5.277,0.6535944896935004,14.229,-14.804,Kaffrine,Koungheul,Zone soudano-sahélienne,13.375,-15.375,Kolda,Kolda,4.25,5.75,473.11,620.451911650372,14,36,3,0.005303362528354,780.2522907179454,2.638330085342245,PASSED
75,1988-07-28,1988,7,Phase_2_pleine,Pleine saison,210,212,47.111,32.6859626590081,66.214,12.807625770568848,10.243332824323202,3.815540052632122,7.92,1.284812277075642,14.543,-14.462,Tambacounda,Koumpentoum,Zone soudano-sahélienne,15.125,-13.375,Matam,Kanel,4.25,5.5,473.11,592.6415359008785,13,35,3,0.0051802404319969,758.3251628259161,3.959987709370699,PASSED
76,2021-08-08,2021,8,Phase_2_pleine,Pleine saison,220,212,47.111,39.388715896966325,78.252,16.22827911376953,14.923638783815411,3.646506490029644,6.457,1.1529412225332234,13.964,-13.169,Tambacounda,Goudiry,Zone soudano-sahélienne,13.375,-11.625,Tambacounda,Goudiry,3.75,5.75,417.45,621.1736958361148,12,27,3,0.005394107851003,748.4125039199292,3.2283360298015507,PASSED
77,1996-07-18,1996,7,Phase_2_pleine,Pleine saison,200,209,46.444,20.12562059785761,35.75,7.583442211151123,4.756350040214588,3.031213932858643,4.92,0.7021515814388387,15.081,-13.674,Matam,Ranérou,Zone soudano-sahélienne,15.125,-13.625,Matam,Ranérou,4.0,4.75,445.28,510.55957087984194,9,20,3,0.0050519297987057,677.4550587802917,2.460161595635328,PASSED
80,1986-07-10,1986,7,Phase_2_pleine,Pleine saison,191,207,46.0,23.66715475902465,55.065,7.480836868286133,8.776252644337008,4.016058263174058,9.263,1.559571302607624,14.655,-14.972,Kaffrine,Koungheul,Zone soudano-sahélienne,12.625,-14.625,Kolda,Médina Yoro Foulah,4.25,5.0,473.11,538.4915289735478,14,33,3,0.0054952049258377,716.8027547912112,4.6316711364783245,PASSED
