phase,cluster,criterion,date,n_pixels,max_precip,mean_precip,coverage_extreme_pct,max_anomaly,n_extreme_pixels
All_phases,6,plus_intense,1998-09-08,259,58.9674186706543,10.262020029156364,6.177606177606178,4.567511081695557,16
All_phases,6,moins_intense,2016-10-30,259,7.885073184967041,1.0109295409503591,13.513513513513514,4.453381538391113,35
All_phases,6,plus_grande_couverture,1998-09-11,259,68.55294036865234,26.01331388536107,62.16216216216216,5.93085241317749,161
All_phases,6,plus_petite_couverture,2016-08-26,259,47.855384826660156,6.308344642081546,2.7027027027027026,3.2603814601898193,7
