phase,cluster,criterion,date,n_pixels,max_precip,mean_precip,coverage_extreme_pct,max_anomaly,n_extreme_pixels
Phase_3_fin,4,plus_intense,1998-09-08,259,58.9674186706543,10.262020029156364,6.177606177606178,4.567511081695557,16
Phase_3_fin,4,moins_intense,1998-10-31,259,10.799062728881836,2.868332988507039,43.24324324324324,6.1823649406433105,112
Phase_3_fin,4,plus_grande_couverture,1999-10-09,259,53.62025833129883,13.98547598938224,69.1119691119691,5.1379008293151855,179
Phase_3_fin,4,plus_petite_couverture,1998-09-30,259,21.895902633666992,6.560379491924779,16.602316602316602,4.191494464874268,43
