k,Inertie,Silhouette,Davies-Bouldin,Methode(s)
2,201551936.0,0.07768239825963974,3.362577481778251,
3,193318304.0,0.07018972933292389,3.3875398063152264,
4,187698528.0,0.06650339066982269,3.506574697703117,coude
5,183033440.0,0.07454562932252884,3.204381520557445,
6,179196064.0,0.07539289444684982,3.287243051995453,
7,174942016.0,0.08589476346969604,2.9172175470476867,
8,171402016.0,0.08703085780143738,2.8218198277629822,Davies-Bouldin
9,166986512.0,0.0953422412276268,3.060927967568962,
10,163753312.0,0.09782575070858002,2.9422304894900355,silhouette
