cluster,n_events,percentage,mean_year,mean_month,mean_day_of_year,mean_max_precip,mean_mean_precip,mean_coverage_percent,mean_max_anomaly,mean_mean_anomaly,phase_distribution,years_range,n_years
0,52,10.855949895615867,2005.7307692307693,9.461538461538462,274.4230769230769,33.59830769230769,17.159719661393645,21.632500000000007,5.692596153846154,3.1441001742140533,{'Phase_3_fin': 52},"(np.int64(1987), np.int64(2023))",4
1,216,45.093945720250524,2004.5555555555557,9.435185185185185,273.1712962962963,33.975611111111114,17.277953036915292,23.60187037037037,6.163513888888889,3.265532764179744,{'Phase_3_fin': 216},"(np.int64(1986), np.int64(2019))",21
2,44,9.18580375782881,2007.6136363636363,9.363636363636363,271.5,35.940409090909085,18.400345886048502,22.65656818181818,5.781,3.1215963000290414,{'Phase_3_fin': 44},"(np.int64(1988), np.int64(2011))",4
3,133,27.766179540709814,2002.5864661654136,9.496240601503759,275.22556390977445,34.725654135338345,17.28258185527442,23.62903007518797,6.405097744360901,3.373479188487584,{'Phase_3_fin': 133},"(np.int64(1983), np.int64(2022))",15
4,34,7.09812108559499,1998.6176470588234,9.382352941176471,272.47058823529414,40.652382352941174,19.09057959902722,24.07185294117647,7.0249999999999995,3.4445165339825596,{'Phase_3_fin': 34},"(np.int64(1998), np.int64(1999))",2
