date,phase,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,cluster
2022-05-27,Phase_1_debut,-279.1975,165.81024,32.35069,-9.492817,55.214043,112.48683,-164.27065,206.84534,102.89155,87.26594,14.549903,-22.431953,-47.523663,182.38954,-57.601143,-19.900337,90.95804,116.84268,85.629364,81.490585,104.66494,82.97389,-1.6052058,72.592705,-10.932525,36.09295,88.55515,-16.681108,-17.914047,17.079374,-16.794573,15.241869,11.919143,-4.3674016,10.523146,-28.161089,17.299986,-27.749197,-18.287977,1.9361542,52.713337,71.58879,54.875866,8.252757,74.73279,-13.996226,20.324425,32.036865,52.222317,32.155117,-8.200801,72.64405,-0.269659,25.760595,93.98556,28.83797,-8.782054,50.65967,16.765144,-33.964092,-30.047766,-40.360645,13.177704,-26.460823,45.940285,22.060575,-16.179113,9.238465,-5.3166394,39.340878,-31.118258,-25.604303,26.510725,12.630118,53.9301,-9.274097,41.589314,-26.007412,-12.45342,-11.911773,-20.60187,29.921131,21.8887,11.363483,-6.4218636,-17.182446,7.8734956,16.770296,-0.21649267,-16.3405,-32.204624,-14.479247,-0.9031318,-6.427936,26.141846,2.9979117,5.2794957,17.743519,9.195014,-10.893597,8.992333,4.3940716,-20.361012,-11.241544,11.73713,-11.6855135,11.953779,20.750196,-11.915862,0.768225,9.218427,-5.5783777,3.464553,8.034689,3.125982,-8.985617,10.769134,-13.514599,2.86244,-2.7809083,6.449296,5.3022647,4
2018-06-27,Phase_1_debut,-18.295866,111.73826,-87.80341,-156.95348,-74.17628,68.51031,70.86701,-61.23314,34.331635,87.84303,131.22318,24.947422,50.493717,-149.48984,-13.663024,59.856133,-49.929897,-54.10757,-6.499197,20.992525,36.89689,-64.51708,94.06904,27.186502,23.716059,34.382442,-55.94816,-41.877605,-85.14977,-127.48679,78.302704,102.00928,130.01697,15.836465,114.05416,51.243145,-2.7028491,10.472497,45.432983,-39.469917,-36.181614,-50.760345,49.7903,-3.2610009,-42.66691,43.057762,-1.1483058,7.1360016,-65.28173,24.293808,-44.43231,-59.905827,8.697385,-18.367048,-45.81493,47.740894,40.927906,12.9807415,7.7197266,-68.38,3.7878768,-24.133558,9.759081,-3.644502,9.705441,28.88538,29.388794,-45.79362,4.6680803,35.26572,-2.1746871,4.238927,28.781004,-29.630302,17.45979,-5.9556465,-70.5412,17.746073,-13.5164995,-40.319016,-8.559152,24.1654,10.755941,-53.28665,16.376696,1.7357609,14.674012,9.5488205,2.2363,85.88733,-73.34376,7.8479238,27.523209,-52.914837,31.584463,23.004667,25.322329,41.19061,103.554146,2.9231424,98.59399,-32.972595,43.320354,-8.198911,10.904121,72.60781,50.894917,-75.223274,-12.801107,106.09211,47.611454,0.35204238,89.03954,28.246922,5.387619,-46.505478,32.22776,9.776875,25.396545,51.212303,63.204865,42.434566,3
2022-06-15,Phase_1_debut,-278.99042,211.54095,3.7706685,-3.1526825,103.31503,50.62772,-168.93094,250.17015,101.252205,101.653366,-15.046972,-45.454823,-60.23836,137.34795,-64.009285,3.6336186,32.90047,61.542126,58.793983,27.315817,111.0465,-15.497828,47.29581,-30.69317,-103.214935,71.16335,36.439316,85.811455,-16.999794,-11.231922,-48.774868,8.019753,-15.43993,-56.4823,13.092503,32.30578,5.5966287,48.35573,31.286556,26.835209,-19.36678,-36.094284,-35.317688,-2.0330093,-106.964226,-28.808681,7.2637095,-29.316927,-46.148636,-4.889341,-39.39634,-46.901768,-41.711617,-38.19191,-66.73159,-51.157017,5.3792744,-26.162018,-44.742695,29.179565,35.3313,36.971394,-5.708202,1.4167206,-25.17359,-13.561412,20.121042,4.570124,-6.073816,-33.623146,11.143263,11.178784,-20.380804,-33.715317,-55.362396,12.709242,-43.146385,12.230967,30.2941,2.9345098,27.70849,-4.2991652,-12.157948,-10.204394,-2.2712572,7.2254057,-5.0840554,-4.9160986,-23.760756,5.1452737,20.87543,8.918226,9.099087,-15.218459,-9.038144,-24.778435,-24.681484,8.452852,-5.2618003,17.226297,-8.988243,-15.285903,13.501161,19.925035,-15.039323,-0.78151,-4.8653717,-20.975166,4.161285,11.37907,-6.352435,0.17350027,-4.3349805,0.60248923,-11.041766,-10.561271,-7.4182324,-7.799363,-7.8960876,-2.7404828,-6.108295,-5.283857,4
1992-06-08,Phase_1_debut,320.4297,278.28134,1.8743767,-85.39136,-82.264824,279.01346,-171.63373,31.804596,44.87659,-122.29564,8.649528,35.896095,-12.051222,-89.57801,-58.42846,-172.42441,40.365993,44.495224,-7.9318223,-48.29096,-127.270805,-70.59733,-71.8233,-13.879743,-57.63392,-125.87893,-28.347652,20.697721,3.4673913,-37.442493,-71.15999,11.022347,-15.28736,-57.28116,24.314688,52.497635,-73.56214,-56.017876,-51.947678,-51.982666,-18.790672,14.180033,53.49494,-97.01536,-13.45221,29.389933,86.03921,-62.053467,-22.49999,40.82846,27.558432,54.90326,-27.329432,-27.597862,61.906574,-44.128456,-2.5736065,-64.3297,-56.79476,27.423708,21.374218,25.610384,54.422523,-51.96484,-39.122173,-34.854023,25.04635,-7.454334,-23.415337,44.456497,-20.711475,15.751105,-9.190085,-5.5422573,11.014512,-26.32554,-50.745384,-4.03619,3.3961406,-49.66357,12.743496,8.2921715,0.45107925,-51.016823,-5.5427623,42.906567,51.094555,22.4705,34.987923,10.23656,23.403227,-66.61478,-4.188357,-27.730534,27.512976,-21.68522,34.37062,-55.6474,-47.628006,-19.874138,32.347458,5.8648505,-18.468752,43.479496,-29.952847,-1.6083598,-18.948566,22.699455,-29.568771,7.931953,-24.898785,-11.485261,10.33256,4.3591304,-22.844028,-3.6405637,5.5644298,8.286016,-4.6769633,-5.6940384,-4.3610163,7.4394116,3
1985-06-27,Phase_1_debut,-250.292,-42.890873,-80.819,-139.56255,-17.65828,-6.0693684,84.96021,-43.245564,51.196907,-25.901508,-46.103855,66.11228,-33.542645,24.804163,-53.450447,-47.737843,2.5873024,-156.99097,57.487804,-40.601364,117.73335,60.72784,-90.656166,-13.460744,24.376343,-48.827,142.57301,-101.65554,45.972008,-36.36769,-107.92975,33.974796,-101.68614,43.66027,32.621693,71.46355,-121.3106,45.12734,18.059422,-63.35369,307.93402,-82.59493,34.97631,-20.55541,168.68626,-4.8664927,11.203882,-1.3840251,-23.940619,45.35128,-69.59531,-5.550944,31.431282,-93.539955,-97.44872,2.8967516,-14.69428,-36.546192,47.445206,-66.44429,25.164331,-40.654144,-5.085879,57.862,1.6151397,23.898859,72.906364,45.737976,-62.613705,8.551174,11.59464,7.714292,18.769867,-54.353825,-45.869987,52.931496,-25.331158,66.59632,-50.910187,-29.789719,20.287603,-27.71996,-9.913089,-9.891122,26.722054,4.629291,29.857883,14.338071,0.52202684,-19.170092,-16.350647,7.7981567,-7.0475564,29.180826,11.638961,-9.753734,-1.5757669,27.375298,3.70317,12.884815,-22.372072,2.6820505,2.6089253,3.6536918,-34.395134,-11.766447,1.6924558,20.021559,-2.5580108,12.696661,-18.929056,14.842385,-4.7974153,-3.8033855,0.16443448,23.339233,-11.908387,-6.1322594,-0.7757452,12.660371,-1.2847676,14.049675,1
2005-05-24,Phase_1_debut,227.50919,82.91228,146.18619,143.51233,318.9623,8.4364805,54.040592,-174.07831,-25.49879,-63.73316,8.268739,-98.1598,94.95752,130.3951,-18.978613,-94.717316,20.326654,35.67093,41.968166,31.043377,-8.148546,-25.443083,85.7989,43.32275,58.49756,-13.997886,8.494151,-12.196767,60.974472,-5.0572248,-41.39182,16.283466,42.133694,0.5306173,2.9355798,35.66438,-19.987202,-66.715775,47.46931,-24.055443,-0.2642823,-27.990452,10.29251,75.95972,11.474828,62.626026,23.18261,-62.895966,-25.087065,15.876686,27.434475,40.772366,38.087345,77.08738,-2.7696216,-11.169318,36.9548,0.40772724,16.451435,-27.814734,101.21092,-45.32052,-6.4109435,-18.924038,4.46042,-44.60027,-61.785225,10.089836,-70.75731,75.64541,34.043842,73.315865,47.577034,16.423412,-47.370323,5.974856,24.926216,10.702668,15.51752,53.60461,6.6827173,-4.1505027,-4.763214,-31.802612,20.617857,-40.205536,13.429299,-21.711042,-30.248102,-6.126368,-12.153225,-1.2428203,12.91987,36.885113,-42.516598,-4.4597006,-23.048231,-44.170273,-11.7617235,37.19407,105.14361,-53.100216,-13.272913,-33.2541,63.562176,67.34385,49.104668,-77.73568,60.167923,28.308031,-28.934816,18.533777,-0.5700221,39.899708,5.0079,16.260427,-47.47001,-9.298686,30.558867,-85.90862,-21.20568,7.60315,2
1995-06-23,Phase_1_debut,-49.490463,-27.613855,-17.502665,-22.069004,-27.833025,-94.29465,104.21432,-10.185416,60.050198,-51.85219,-97.85769,-14.942671,-65.40173,-84.11274,35.98206,-19.874441,-79.460884,3.1662834,117.97552,-20.990396,35.268166,-83.73611,-9.582262,-54.73985,-43.877205,57.13523,-38.232628,-54.890675,11.010933,51.253643,-20.661594,29.660294,18.466291,-65.41684,94.03476,-55.06273,121.43005,-26.301992,136.71635,7.578891,-20.167877,-62.713024,-19.14812,11.866259,12.434806,-14.301994,51.800987,-6.686373,18.138033,69.819244,-4.962027,-112.516785,-38.553192,-14.224845,-29.39585,17.39965,-18.735151,-86.32707,-34.126316,-43.412037,24.326563,8.491443,-9.526518,-56.43258,-88.66366,-18.966183,-37.412636,27.117285,67.05329,-9.344401,-84.76229,25.727571,5.0531087,-81.52819,112.68987,-62.66598,-33.367,47.271427,-115.01795,-3.8866444,2.6982818,108.13194,-24.591595,34.428104,-13.932075,23.539576,-20.812658,-35.608612,-16.619848,-123.27604,15.402167,-13.626107,32.365757,16.993502,37.618206,17.504313,52.075752,113.434456,-102.24239,-128.21017,46.69585,-15.166731,91.733925,-57.47981,134.60255,-60.73151,-37.41211,68.33746,-49.040623,53.22067,18.017279,-58.90201,70.736046,-30.03625,51.667416,22.849297,34.71632,-28.891716,106.83112,-15.081066,-8.3339205,5.554171,3
2003-05-22,Phase_1_debut,-60.75013,81.62463,109.46112,-109.676254,47.048683,13.233904,-83.922935,-57.70923,43.750362,52.40195,94.5626,-11.199941,-46.097,-12.344663,55.365505,-21.032444,60.43219,-155.96861,35.662224,95.38032,-32.727016,-85.229935,-35.06929,17.24607,59.76648,-12.035874,-16.462324,-106.72684,33.244305,-20.714725,79.69033,75.16842,-6.072745,-120.7203,-83.15155,-43.033497,23.749334,-2.373394,-47.624676,108.36094,63.417015,29.402897,-1.3404199,-58.065556,-27.634916,-11.539408,-64.573364,-54.344574,68.97259,-45.067192,-22.246807,-13.608077,-19.47806,32.833973,-26.055984,5.2212515,45.92281,20.538206,-27.583435,41.234856,23.959467,-39.18937,85.261406,-41.783794,-44.8791,95.62455,76.689926,-15.101945,63.961952,4.1534796,37.943512,135.84416,-30.768934,-3.498641,2.2846437,69.14826,46.988636,-38.77186,-32.346054,-7.1335382,-44.46813,34.134018,-7.146557,-57.583424,20.01646,96.68972,-69.35596,40.630035,-6.275009,-36.001644,26.004087,31.03639,39.296913,55.84297,-28.3885,-153.39796,29.90392,-52.930485,36.34245,-54.461136,11.215262,-41.526188,71.326645,-74.41394,1.3137044,19.981932,15.404489,62.077446,42.14719,50.226402,22.14311,46.17219,-46.800884,-116.42969,78.68555,30.678642,-121.35954,-22.877535,-107.605644,35.8351,23.646605,-18.115814,3
2006-06-14,Phase_1_debut,19.546144,-161.61993,-69.04386,-43.44143,84.77764,-63.346985,141.77861,19.108131,-80.54026,53.759335,-64.06509,-84.50399,-148.99263,-98.29475,-49.204353,-92.32374,25.789204,172.28299,-159.19592,-39.181362,47.659824,-228.65958,63.069225,-19.998848,-13.324633,28.622408,18.36112,22.67804,4.7807465,-44.570877,-30.36059,27.945423,-28.509344,-28.431625,-18.021992,15.2616415,-7.2341313,5.03397,-109.75288,15.748498,30.445927,8.200411,-12.079612,48.414665,18.744452,-10.947422,77.58049,26.03749,-45.599724,26.833239,-23.348259,18.979156,-17.47754,2.1164896,14.568641,-24.765106,49.397957,33.269787,-11.480465,-6.367517,-23.141285,-7.0178866,-26.402561,20.46011,37.22573,51.55236,-12.801238,-46.436073,57.780067,36.10088,5.1894884,-22.651297,18.197548,-14.684994,10.229181,34.211483,-26.561096,-5.0877843,24.403532,-21.533594,43.261967,-41.594433,17.399946,-14.386701,23.68835,-44.506916,-2.9420855,3.0380747,-18.557236,60.521427,27.586788,-62.709934,-21.875957,21.037935,37.86903,0.50974506,55.99119,-50.315037,29.250507,3.6928346,-7.6071405,-35.354607,54.52549,-63.002567,61.349148,10.636806,-4.069885,45.540806,5.3647633,-14.958743,19.252438,-45.093533,33.114975,60.45988,2.2085056,6.3455944,-4.310704,2.4650605,-51.339127,43.776497,-85.958084,5.459059,0
1997-06-09,Phase_1_debut,404.01056,-42.11311,-374.7946,134.12273,128.1858,-86.62403,-155.9653,140.21799,-25.559116,-10.839566,-126.11305,-21.063158,-21.430294,23.160597,78.475464,140.37428,175.1765,8.384596,15.370851,-26.480534,3.86867,-2.3999698,-29.273102,9.454692,34.499126,8.28951,-66.02741,-35.80459,-39.313255,-45.950783,6.376423,-22.178373,-6.0028877,-14.063556,-82.46567,52.51546,25.33392,-47.518566,8.710845,-10.5575075,3.7269506,3.2074625,-21.964344,50.8578,27.197498,22.819935,34.789467,-9.9668045,32.861263,18.603504,6.4662313,24.03048,39.220547,37.56007,-44.27474,85.13841,-14.379935,21.65154,41.475185,-34.646076,-15.793314,69.95645,76.08031,-23.294174,-23.902937,23.824938,-36.92686,-62.204334,4.6975923,2.2686517,-6.7358966,32.595787,42.93787,22.694204,-21.043562,31.066528,-30.284912,89.417435,47.391483,1.6989678,-9.798923,16.651712,73.93532,-20.129429,3.9175026,61.378876,46.633102,-11.965308,26.260374,-8.267744,4.838082,20.518211,-11.586394,1.0902857,5.810023,-0.32311994,-40.00986,36.575115,-78.31686,28.145977,26.935873,11.434547,-17.394735,-39.02376,8.431129,-3.6845038,4.6700387,2.6530395,44.244568,-17.462664,29.535141,23.631197,40.393105,-14.5909195,-16.264996,11.548801,19.991156,6.452147,-2.6637,27.350937,23.639912,14.282742,5
