k,Inertie,Silhouette,Davies-Bouldin,Methode(s)
2,121857512.0,0.0659,3.665,
3,117617712.0,0.0662,3.5587,
4,114230640.0,0.0624,3.5162,
5,110038344.0,0.0778,3.1688,
6,106647488.0,0.086,2.884,
7,103804256.0,0.0955,2.9082,
8,100245712.0,0.1089,2.5043,coude
9,98459488.0,0.1051,2.7041,
10,94814808.0,0.1261,2.6801,
11,91490256.0,0.1373,2.4432,
12,89521504.0,0.1417,2.2867,
13,87199088.0,0.1502,2.3406,
14,85126760.0,0.1621,2.2667,Davies-Bouldin
15,82883624.0,0.1706,2.276,silhouette
