cluster,n_events,percentage,mean_year,mean_month,mean_day_of_year,mean_max_precip,mean_mean_precip,mean_coverage_percent,mean_max_anomaly,mean_mean_anomaly,phase_distribution,years_range,n_years
0,97,33.91608391608392,2002.0824742268042,5.711340206185567,159.53608247422682,25.49930927835051,12.128912108238849,22.707876288659797,8.804876288659793,3.939982434185522,{'Phase_1_debut': 97},"(np.int64(1985), np.int64(2021))",15
1,64,22.377622377622377,2002.640625,5.71875,160.71875,25.59815625,12.159676870677488,22.38196875,7.3727656249999995,3.625956956694466,{'Phase_1_debut': 64},"(np.int64(1984), np.int64(2022))",7
2,29,10.13986013986014,1997.6206896551723,5.758620689655173,160.0,28.365724137931036,12.784137962326538,21.386896551724135,8.41389655172414,3.7756294195475424,{'Phase_1_debut': 29},"(np.int64(1983), np.int64(2023))",4
3,13,4.545454545454546,1997.0,5.6923076923076925,156.15384615384616,29.88730769230769,10.65817006901161,27.948615384615387,10.084923076923076,4.200917619848463,{'Phase_1_debut': 13},"(np.int64(1997), np.int64(1997))",1
4,83,29.02097902097902,2006.3373493975903,5.650602409638554,156.89156626506025,24.09285542168675,11.006938095649717,23.322566265060246,7.55666265060241,3.6712221300298387,{'Phase_1_debut': 83},"(np.int64(1991), np.int64(2020))",14
