date,rank,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation,cluster
1996-06-04,42,1996,6,Phase_1_debut,Début de saison,156,242,53.778,17.700492437713404,45.817,0.541225790977478,10.036027025023824,4.499719018283588,9.866,1.5567612845370336,13.478,-13.368,Tambacounda,Tambacounda,Zone soudanienne,12.625,-14.875,Kolda,Kolda,4.0,5.25,445.28,568.3336327640494,10,26,3,0.0054606580580545,721.995428919589,4.933199178417213,PASSED,3
2005-06-28,44,2005,6,Phase_1_debut,Début de saison,179,240,53.333,15.033777298529944,31.74,4.70943546295166,4.577544970772989,3.8378726768591087,9.513,1.5580469956343936,14.694,-14.724,Kaffrine,Koungheul,Zone soudano-sahélienne,13.125,-15.125,Kolda,Kolda,4.0,5.0,445.28,538.3970385772095,12,32,3,0.0045529604973848,698.674210486339,4.756348105230573,PASSED,2
2009-06-25,52,2009,6,Phase_1_debut,Début de saison,176,234,52.0,19.823258367359127,37.963,4.442153453826904,7.52635383526027,4.039114137780784,7.737,1.4089719570421393,14.255,-12.953,Tambacounda,Goudiry,Zone soudano-sahélienne,14.375,-12.875,Tambacounda,Goudiry,4.25,3.75,473.11,404.5969779189846,6,16,3,0.0048895363461479,622.5205033098712,3.868536378630627,PASSED,3
2005-06-05,54,2005,6,Phase_1_debut,Début de saison,156,231,51.333,13.347826716058698,36.431,0.3671925365924835,7.871316310058882,4.122448365525527,7.342,1.3190449583157746,13.866,-12.959,Tambacounda,Goudiry,Zone soudano-sahélienne,12.625,-12.625,Kédougou,Salémata,4.25,5.0,473.11,540.3800737986736,7,20,3,0.0058344380164799,718.2225885188101,3.670841175816925,PASSED,2
2011-06-02,56,2011,6,Phase_1_debut,Début de saison,153,227,50.444,5.2810656979745705,15.426,0.4136679768562317,3.630917426256497,4.925634469676165,19.473,3.3344584439534075,14.07,-15.175,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.375,-15.375,Sédhiou,Bounkiling,4.25,5.5,473.11,593.8910630470886,13,36,3,0.0064876843868339,759.3020856465502,9.736380498269552,PASSED,1
2009-06-15,59,2009,6,Phase_1_debut,Début de saison,166,222,49.333,20.986435919731587,49.654,1.36626398563385,9.158361329523329,6.206428158944485,17.134,3.619807383337831,14.315,-13.18,Tambacounda,Goudiry,Zone soudano-sahélienne,13.875,-13.125,Tambacounda,Goudiry,4.25,4.25,473.11,458.4207167919562,7,17,3,0.0053623423344557,658.7735696611172,8.567189555368909,PASSED,3
1997-06-08,64,1997,6,Phase_1_debut,Début de saison,159,218,48.444,14.141271030957546,39.159,0.7543851733207703,9.834374655506265,3.866508452768472,8.297,1.3489919039468814,13.966,-13.477,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.875,-13.125,Kédougou,Salémata,4.25,5.5,473.11,594.1603999370398,13,33,3,0.0068056594372783,759.5127670772513,4.148251556490878,PASSED,5
2014-05-21,65,2014,5,Phase_1_debut,Début de saison,141,217,48.222,8.506592311274071,28.968,0.1585696786642074,9.020918962680836,7.262514167300528,16.989,3.1945217407733364,13.038,-13.305,Tambacounda,Tambacounda,Zone soudanienne,13.625,-13.625,Tambacounda,Tambacounda,4.0,5.75,445.28,623.5876927449198,14,35,3,0.0097906908732562,766.2479310203274,8.494417934750802,PASSED,3
1988-06-24,69,1988,6,Phase_1_debut,Début de saison,176,216,48.0,12.366782709404276,25.904,2.13206148147583,4.641984217640723,3.416119273107856,7.423,1.1112626138091224,14.827,-14.075,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.875,-13.875,Tambacounda,Tambacounda,3.75,5.75,417.45,618.7779380100451,12,30,3,0.0052819187092659,746.4252488983497,3.7115370980265,PASSED,3
2011-06-01,70,2011,6,Phase_1_debut,Début de saison,152,215,47.778,6.0064166960328125,14.67,0.2923157215118408,3.974356200158732,4.615177753609275,18.236,2.365533646474828,13.838,-14.686,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.625,-14.375,Kolda,Médina Yoro Foulah,4.25,4.75,473.11,513.423319800131,13,31,3,0.0066875680020787,698.1665759792484,9.118004283944463,PASSED,1
1988-06-12,73,1988,6,Phase_1_debut,Début de saison,164,214,47.556,17.385911386703775,50.552,2.2312726974487305,9.718963119459945,3.268918966369444,6.636,0.9861961943352936,13.563,-12.989,Tambacounda,Goudiry,Zone soudano-sahélienne,12.625,-11.375,Kédougou,Saraya,4.25,5.25,473.11,568.1320730223698,8,20,3,0.0061331604992455,739.3288273134596,3.318167875844982,PASSED,3
2006-06-02,78,2006,6,Phase_1_debut,Début de saison,153,207,46.0,13.145861642948097,21.872,1.4140222072601318,4.2778907980161245,4.523563782995522,13.278,2.531106671772004,13.865,-13.138,Tambacounda,Goudiry,Zone soudano-sahélienne,14.375,-12.875,Tambacounda,Goudiry,4.25,4.5,473.11,486.3441482965351,6,18,3,0.0053424947774926,678.501063434894,6.638811637819222,PASSED,0
2017-06-27,88,2017,6,Phase_1_debut,Début de saison,178,203,45.111,20.46376206957061,43.823,3.9690351486206055,9.33157617821676,5.91345085648465,10.803,1.8150928554056136,15.028,-14.496,Matam,Ranérou,Zone soudano-sahélienne,14.125,-14.625,Kaffrine,Koungheul,3.0,5.75,333.96,618.1986689666912,10,28,2,0.0059504457475003,702.6370811092229,5.401439199919984,PASSED,3
2014-06-02,91,2014,6,Phase_1_debut,Début de saison,153,202,44.889,16.20125572457172,36.12,1.603420615196228,6.681126745003685,5.404476035829854,15.471,2.947532326523316,13.364,-14.369,Tambacounda,Tambacounda,Zone soudanienne,12.375,-16.125,Sédhiou,Goudomp,2.5,5.25,278.3,568.6043042339662,11,29,2,0.0057923760290761,633.0574520577835,7.735626253954648,PASSED,3
1989-06-17,92,1989,6,Phase_1_debut,Début de saison,168,202,44.889,32.6740803641848,85.593,1.6193307638168335,21.53865214924972,7.029344474820794,13.444,2.758907848984268,13.564,-14.645,Kolda,Vélingara,Zone soudano-sahélienne,12.875,-16.625,Ziguinchor,Bignona,4.25,5.25,473.11,568.1287974008621,11,26,3,0.0071016858384395,739.3263101879642,6.722189556937432,PASSED,1
2022-06-09,93,2022,6,Phase_1_debut,Début de saison,160,202,44.889,8.629882902792184,18.741,0.5271861553192139,3.933347834457964,5.305044029969082,13.324,2.693936751515546,14.802,-14.839,Kaffrine,Koungheul,Zone soudano-sahélienne,12.875,-16.375,Ziguinchor,Bignona,4.25,5.75,473.11,618.8495261712965,12,31,3,0.0059788985167155,778.9786894019875,6.662039902798995,PASSED,4
1998-06-17,94,1998,6,Phase_1_debut,Début de saison,168,202,44.889,15.746449130006356,34.525,1.004849195480347,7.641489032085507,2.9858697854058427,5.004,0.7381208310552456,13.62,-13.714,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.875,-14.875,Kolda,Kolda,4.0,5.75,445.28,622.0910884008334,14,32,3,0.0061163361175408,765.0304592091308,2.501753595257401,PASSED,0
2006-06-03,99,2006,6,Phase_1_debut,Début de saison,154,199,44.222,12.488650739792003,26.38,0.8957338929176331,5.709154326693708,5.363338080181227,12.044,2.326662361464242,13.688,-14.831,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.875,-14.875,Kolda,Kolda,3.5,4.75,389.62,513.7511840870998,12,32,3,0.0060752952436629,644.7821442362506,6.021897963181102,PASSED,0
2021-06-26,112,2021,6,Phase_1_debut,Début de saison,177,196,43.556,17.090904696863525,33.989,3.66009783744812,6.636989215378245,4.732892749639156,11.237,1.931221339269616,14.498,-15.143,Kaffrine,Koungheul,Zone soudano-sahélienne,13.625,-14.625,Kolda,Vélingara,4.0,3.75,445.28,404.1564650877471,13,31,3,0.0058714476648063,601.3457653648384,5.6184486361606885,PASSED,3
2003-06-28,125,2003,6,Phase_1_debut,Début de saison,179,187,41.556,14.73171213986402,28.973,1.3844637870788574,6.176602573741937,3.381918638885644,11.409,1.9347720776116009,14.547,-13.941,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.375,-16.625,Ziguinchor,Bignona,4.25,5.75,473.11,619.5699752158699,13,27,3,0.0062876442488854,779.5511636121093,5.704725540421022,PASSED,3
1996-06-15,130,1996,6,Phase_1_debut,Début de saison,167,185,41.111,6.730422214881794,24.904,0.6077101826667786,3.976885477169876,3.577855377340404,7.857,1.1770473953053675,15.036,-14.385,Matam,Ranérou,Zone soudano-sahélienne,13.125,-16.625,Ziguinchor,Bignona,4.0,5.75,445.28,618.1745578659452,13,29,3,0.0072926570927248,761.8491092353897,3.928327498884412,PASSED,3
1991-06-03,132,1991,6,Phase_1_debut,Début de saison,154,184,40.889,13.426246133187544,27.929,1.0000137090682983,7.195906603755839,5.654856937065527,20.0,3.071921366687292,14.018,-12.595,Tambacounda,Goudiry,Zone soudano-sahélienne,14.125,-12.625,Tambacounda,Goudiry,4.25,3.5,473.11,378.0164689579096,6,14,3,0.0069959303458751,605.581962498394,10.0,PASSED,0
2010-05-25,133,2010,5,Phase_1_debut,Début de saison,145,184,40.889,5.536443044633969,20.898,0.104936197400093,5.384913770629532,3.779022533208738,11.24,1.6868162432113047,13.105,-12.851,Tambacounda,Tambacounda,Zone soudanienne,12.625,-11.875,Kédougou,Saraya,4.25,5.75,473.11,623.4206449697054,14,36,3,0.0105761425622001,782.6150797642756,5.619774355505333,PASSED,3
2020-06-15,145,2020,6,Phase_1_debut,Début de saison,167,181,40.222,16.10940915181492,38.82,1.1133902072906494,11.149075232424124,4.637382850750327,6.925,1.2725104696750011,14.53,-12.57,Tambacounda,Goudiry,Zone soudano-sahélienne,13.875,-12.375,Tambacounda,Goudiry,4.0,4.0,445.28,431.0392974452723,5,10,3,0.0081711668529828,619.7331338504614,3.462371855731861,PASSED,3
1999-06-06,146,1999,6,Phase_1_debut,Début de saison,157,181,40.222,12.87403139620196,26.256,2.2503700256347656,5.362140304828283,3.005008199329818,5.75,0.7745656230507171,13.553,-13.88,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-11.875,Kédougou,Kédougou,3.75,5.25,417.45,568.1560677363759,10,24,3,0.0064833100743299,705.0289589305261,2.874946196481002,PASSED,1
1997-05-31,158,1997,5,Phase_1_debut,Début de saison,151,175,38.889,8.90212434734617,23.199,0.7075607180595398,5.552396943529254,3.2282221041241232,6.224,0.9023198730328958,13.596,-13.419,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.375,-13.875,Tambacounda,Tambacounda,4.25,4.0,473.11,432.80121812956986,5,15,3,0.0079372662067037,641.2097604641086,3.111962918591984,PASSED,5
2017-06-28,163,2017,6,Phase_1_debut,Début de saison,179,173,38.444,14.75013435231468,37.166,2.740329027175904,7.313917050700696,3.007550092844399,6.551,0.879803974223408,14.362,-13.991,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.625,-13.875,Tambacounda,Tambacounda,4.25,5.25,473.11,566.1648282646214,10,24,3,0.0072015690962453,737.8181857774368,3.2753183624564537,PASSED,3
1997-06-18,167,1997,6,Phase_1_debut,Début de saison,169,171,38.0,10.060207999937717,24.123,1.4969816207885742,5.317063477299244,4.301252632277591,9.55,1.9527778604361168,14.899,-14.619,Kaffrine,Koungheul,Zone soudano-sahélienne,15.375,-14.875,Louga,Linguère,4.25,5.75,473.11,618.5707485117957,12,31,3,0.0074815078344073,778.7572365085562,4.77489259279549,PASSED,5
1983-06-19,176,1983,6,Phase_1_debut,Début de saison,170,167,37.111,18.029518414400293,38.065,2.2378833293914795,7.449514722797093,5.183306321991625,9.295,2.0286318967362007,14.606,-13.09,Tambacounda,Goudiry,Zone soudano-sahélienne,13.375,-13.875,Tambacounda,Tambacounda,4.25,4.5,473.11,484.7519798491618,6,13,3,0.0070103071940016,677.3607196078632,4.647548441828001,PASSED,0
2012-05-19,190,2012,5,Phase_1_debut,Début de saison,140,163,36.222,8.378272604722918,20.424,0.2844280898571014,5.926496185479697,5.695115345193733,14.055,2.5496611982486783,13.024,-13.161,Tambacounda,Tambacounda,Zone soudanienne,12.625,-12.375,Kédougou,Kédougou,2.5,5.0,278.3,542.2812519098917,8,19,2,0.0092046941060329,609.5242726794885,7.027445340057199,PASSED,0
2004-06-10,192,2004,6,Phase_1_debut,Début de saison,162,163,36.222,11.160222269274708,22.097,1.855666995048523,4.641625080367041,3.4401305592388907,6.72,1.0927549980485567,14.575,-13.111,Tambacounda,Goudiry,Zone soudano-sahélienne,14.375,-12.875,Tambacounda,Goudiry,3.5,5.5,389.62,592.5580535291581,10,21,3,0.0071961927394082,709.1747183714776,3.359756114284301,PASSED,3
2020-06-08,194,2020,6,Phase_1_debut,Début de saison,160,162,36.0,9.295038486520449,23.254,0.3911650776863098,6.405333383775645,2.9075364256636,6.712,0.8428216722833771,14.028,-12.803,Tambacounda,Goudiry,Zone soudano-sahélienne,12.625,-13.125,Kédougou,Salémata,4.25,4.5,473.11,486.00062754928746,7,15,3,0.009104178723564,678.2548728010004,3.35622877618767,PASSED,3
