phase,cluster,criterion,date,n_pixels,max_precip,mean_precip,coverage_extreme_pct,max_anomaly,n_extreme_pixels
Phase_2_pleine,0,plus_intense,2009-08-28,259,132.57249450683594,22.65994594070672,39.38223938223938,4.5664167404174805,102
Phase_2_pleine,0,moins_intense,1993-07-12,259,18.39127540588379,3.420620952103589,3.474903474903475,2.8147692680358887,9
Phase_2_pleine,0,plus_grande_couverture,1986-07-10,259,44.52308654785156,16.87659802998355,59.07335907335908,6.337949275970459,153
Phase_2_pleine,0,plus_petite_couverture,1993-07-22,259,68.52877807617188,8.515158782997187,11.583011583011583,4.183022975921631,30
Phase_2_pleine,1,plus_intense,1985-08-06,259,171.60330200195312,14.623977120088334,18.146718146718147,5.8648223876953125,47
Phase_2_pleine,1,moins_intense,2009-07-02,259,17.532564163208008,7.696865627347963,25.482625482625483,3.5457053184509277,66
Phase_2_pleine,1,plus_grande_couverture,2003-07-07,259,56.31154251098633,21.98406439041539,66.40926640926641,4.795000076293945,172
Phase_2_pleine,1,plus_petite_couverture,1984-07-04,259,25.52987289428711,3.8726866810248164,3.088803088803089,4.122176647186279,8
Phase_2_pleine,2,plus_intense,1996-08-04,259,106.5212173461914,18.206474299826677,28.957528957528954,5.423594951629639,75
Phase_2_pleine,2,moins_intense,2013-07-03,259,20.7487850189209,7.700261615561932,4.633204633204633,2.3624789714813232,12
Phase_2_pleine,2,plus_grande_couverture,2022-07-24,259,38.98963928222656,23.170976495190477,65.63706563706563,4.110061168670654,170
Phase_2_pleine,2,plus_petite_couverture,2010-07-04,259,62.76824188232422,6.524241552562327,7.335907335907336,4.482478618621826,19
Phase_2_pleine,3,plus_intense,2012-08-26,259,76.14567565917969,11.817499238149079,11.196911196911197,5.332752704620361,29
Phase_2_pleine,3,moins_intense,2012-07-06,259,21.066932678222656,9.293750089165327,0.0,1.9963316917419434,0
Phase_2_pleine,3,plus_grande_couverture,2012-08-18,259,53.56731414794922,27.310338996091865,53.28185328185329,5.687138080596924,138
Phase_2_pleine,3,plus_petite_couverture,2012-08-27,259,38.823402404785156,11.668235097871554,2.7027027027027026,2.9396066665649414,7
Phase_2_pleine,4,plus_intense,1997-08-26,259,87.44339752197266,14.264262546040836,16.988416988416986,3.2037100791931152,44
Phase_2_pleine,4,moins_intense,1997-07-08,259,20.279399871826172,3.482624351287901,8.880308880308881,4.242857456207275,23
Phase_2_pleine,4,plus_grande_couverture,2023-08-15,259,51.75069808959961,27.090743492008638,58.301158301158296,4.336721897125244,151
Phase_2_pleine,4,plus_petite_couverture,2023-07-26,259,32.152225494384766,4.504077181795389,16.216216216216218,4.194475173950195,42
Phase_2_pleine,5,plus_intense,1998-08-21,259,73.68966674804688,18.824724470786606,12.741312741312742,4.430058479309082,33
Phase_2_pleine,5,moins_intense,2016-07-31,259,25.32513999938965,12.295091045409096,0.3861003861003861,2.0081331729888916,1
Phase_2_pleine,5,plus_grande_couverture,2016-08-20,259,66.32422637939453,26.883913801098423,43.24324324324324,3.75895094871521,112
Phase_2_pleine,5,plus_petite_couverture,2016-08-26,259,47.855384826660156,6.308344642081546,2.7027027027027026,3.2603814601898193,7
