composante,variance_expliquee,variance_cumulee
PC192,0.0008382243,0.7865642
PC193,0.0008366635,0.78740084
PC194,0.0008318302,0.7882327
PC195,0.0008289315,0.7890616
PC196,0.00082032476,0.78988194
PC197,0.00081902894,0.790701
PC198,0.00081648666,0.79151744
PC199,0.000809633,0.79232705
PC200,0.0008032658,0.79313034
PC201,0.00080053555,0.7939309
PC202,0.00079670065,0.79472756
PC203,0.0007900908,0.7955177
PC204,0.0007828723,0.79630053
PC205,0.00078042597,0.79708093
PC206,0.0007749755,0.7978559
PC207,0.0007711077,0.798627
PC208,0.00076964096,0.79939663
PC209,0.00076254,0.80015916
PC210,0.0007613606,0.80092055
PC211,0.00075202016,0.8016726
PC212,0.0007503062,0.8024229
PC213,0.0007446444,0.8031675
PC214,0.0007401992,0.8039077
PC215,0.0007378912,0.8046456
PC216,0.0007337804,0.8053794
PC217,0.0007308827,0.80611026
PC218,0.000728409,0.8068387
PC219,0.000726676,0.8075654
PC220,0.00071782846,0.8082832
PC221,0.0007141923,0.8089974
PC222,0.000712093,0.8097095
PC223,0.00070490286,0.8104144
PC224,0.0007036176,0.811118
PC225,0.00069932657,0.81181735
PC226,0.00069726096,0.8125146
PC227,0.000695334,0.81320995
PC228,0.00068600057,0.81389594
PC229,0.0006816293,0.8145776
PC230,0.00067768747,0.8152553
PC231,0.0006734673,0.81592876
PC232,0.0006664806,0.81659526
PC233,0.000665781,0.81726104
PC234,0.0006628909,0.8179239
PC235,0.000662397,0.8185863
PC236,0.0006561303,0.8192424
PC237,0.0006557363,0.8198981
PC238,0.0006516874,0.82054985
PC239,0.00064988894,0.8211997
PC240,0.0006451291,0.8218448
PC241,0.00064387004,0.82248867
PC242,0.0006383444,0.82312703
PC243,0.000637203,0.8237642
PC244,0.0006325596,0.8243968
PC245,0.00062883744,0.8250256
PC246,0.0006259913,0.8256516
PC247,0.00062222034,0.8262738
PC248,0.00061710045,0.8268909
PC249,0.0006145609,0.82750547
PC250,0.000611223,0.8281167
PC251,0.0006092434,0.82872593
PC252,0.0006071201,0.82933307
PC253,0.00060382666,0.8299369
PC254,0.00060044596,0.8305374
PC255,0.0005988353,0.8311362
PC256,0.0005945415,0.8317308
PC257,0.00059163844,0.8323224
PC258,0.0005896991,0.83291215
PC259,0.00058714167,0.8334993
PC260,0.00058525766,0.8340846
PC261,0.0005836735,0.8346682
PC262,0.000577602,0.83524585
PC263,0.00057653885,0.8358224
PC264,0.00057248975,0.8363949
PC265,0.0005713021,0.8369662
PC266,0.0005684076,0.8375346
PC267,0.00056341203,0.838098
PC268,0.0005625908,0.8386606
PC269,0.0005606842,0.8392213
PC270,0.0005561291,0.8397774
PC271,0.0005547432,0.84033215
PC272,0.00055437227,0.84088653
PC273,0.00055089855,0.84143746
PC274,0.0005458643,0.8419833
PC275,0.00054512895,0.84252846
PC276,0.0005438821,0.84307235
PC277,0.0005416844,0.84361404
PC278,0.0005388293,0.84415287
PC279,0.000535263,0.8446881
PC280,0.0005309586,0.8452191
PC281,0.0005297877,0.84574884
PC282,0.00052788603,0.8462767
PC283,0.0005215491,0.84679824
PC284,0.00051945716,0.8473177
PC285,0.00051839894,0.8478361
PC286,0.0005160559,0.84835213
PC287,0.0005140448,0.84886616
PC288,0.00051271607,0.8493789
PC289,0.0005109323,0.8498898
PC290,0.00050790625,0.8503977
PC291,0.00050544145,0.85090315
PC292,0.00050235883,0.8514055
PC293,0.00049985276,0.85190535
PC294,0.0004991608,0.85240453
PC295,0.0004982928,0.8529028
PC296,0.00049538794,0.8533982
PC297,0.0004941661,0.8538924
PC298,0.0004919982,0.85438436
PC299,0.0004891967,0.85487354
PC300,0.00048776946,0.8553613
PC301,0.0004866843,0.85584795
PC302,0.00048443023,0.85633236
PC303,0.00048269692,0.85681504
PC304,0.00048099426,0.85729605
PC305,0.00047979577,0.85777587
PC306,0.0004780789,0.85825396
PC307,0.00047741958,0.8587314
PC308,0.0004762298,0.85920763
PC309,0.000473226,0.85968083
PC310,0.00046904938,0.86014986
PC311,0.0004684439,0.8606183
PC312,0.0004650205,0.8610833
PC313,0.0004634514,0.86154675
PC314,0.0004582118,0.862005
PC315,0.00045768305,0.8624627
PC316,0.00045662138,0.86291933
PC317,0.0004555625,0.8633749
PC318,0.00045430896,0.8638292
PC319,0.00045114668,0.86428034
PC320,0.00044893307,0.8647293
PC321,0.00044760053,0.86517686
PC322,0.0004451358,0.865622
PC323,0.00044361103,0.8660656
PC324,0.00044269068,0.8665083
PC325,0.0004403074,0.8669486
PC326,0.0004379801,0.8673866
PC327,0.00043636755,0.86782295
PC328,0.00043608536,0.868259
PC329,0.00043411856,0.8686931
PC330,0.0004307199,0.8691238
PC331,0.00042980775,0.8695536
PC332,0.0004286858,0.8699823
PC333,0.00042798324,0.87041026
PC334,0.00042688925,0.87083715
PC335,0.00042235645,0.8712595
PC336,0.000421183,0.8716807
PC337,0.00042049406,0.8721012
PC338,0.00041879792,0.87251997
PC339,0.00041865886,0.87293863
PC340,0.0004160625,0.8733547
PC341,0.00041335824,0.87376803
PC342,0.00041215812,0.8741802
PC343,0.00041154912,0.87459177
PC344,0.00040948048,0.87500125
PC345,0.00040788623,0.8754091
PC346,0.0004071194,0.8758162
PC347,0.0004059749,0.8762222
PC348,0.0004055144,0.8766277
PC349,0.0004030323,0.87703073
PC350,0.00040053262,0.8774313
PC351,0.0004000757,0.87783134
PC352,0.00039672566,0.87822807
PC353,0.0003958066,0.8786239
PC354,0.0003944347,0.87901837
PC355,0.00039275736,0.8794111
PC356,0.00039151567,0.87980264
PC357,0.00038994136,0.8801926
PC358,0.00038888486,0.88058144
PC359,0.000388253,0.8809697
PC360,0.00038614235,0.8813558
PC361,0.00038369675,0.8817395
PC362,0.00038290533,0.8821224
PC363,0.00038256205,0.88250494
PC364,0.00038021823,0.88288516
PC365,0.00037969145,0.88326484
PC366,0.00037786152,0.8836427
PC367,0.00037718093,0.88401985
PC368,0.0003753273,0.8843952
PC369,0.00037421653,0.8847694
PC370,0.00037382334,0.8851432
PC371,0.0003704784,0.8855137
PC372,0.00036944577,0.88588315
PC373,0.00036841788,0.88625157
PC374,0.00036716092,0.88661873
PC375,0.0003660633,0.8869848
PC376,0.00036441121,0.88734925
PC377,0.0003637429,0.887713
PC378,0.00036346476,0.8880765
PC379,0.0003625121,0.888439
PC380,0.00036007908,0.8887991
PC381,0.0003580275,0.8891571
PC382,0.00035713587,0.88951427
PC383,0.00035617914,0.88987046
PC384,0.00035503643,0.8902255
PC385,0.0003538949,0.8905794
PC386,0.00035338767,0.8909328
PC387,0.0003526057,0.8912854
PC388,0.00035206822,0.8916375
PC389,0.00035024484,0.89198774
PC390,0.00034937653,0.89233714
PC391,0.00034900536,0.8926861
PC392,0.00034739063,0.8930335
PC393,0.00034649274,0.89338
PC394,0.0003442994,0.89372426
PC395,0.00034272877,0.894067
PC396,0.0003414097,0.8944084
PC397,0.00033922464,0.8947476
PC398,0.00033835563,0.895086
PC399,0.00033748653,0.8954235
PC400,0.00033585328,0.89575934
PC401,0.00033548733,0.89609486
PC402,0.00033308627,0.8964279
PC403,0.00033238315,0.8967603
PC404,0.0003320559,0.89709234
PC405,0.0003311881,0.8974235
PC406,0.00033090616,0.89775443
PC407,0.00032939197,0.8980838
PC408,0.0003272827,0.8984111
PC409,0.00032706233,0.89873815
PC410,0.00032653965,0.89906466
PC411,0.00032528257,0.8993899
PC412,0.0003236903,0.89971364
PC413,0.00032309548,0.90003675
