cluster,n_events,percentage,mean_year,mean_month,mean_day_of_year,mean_max_precip,mean_mean_precip,mean_coverage_percent,mean_max_anomaly,mean_mean_anomaly,n_years,phase_distribution
0,74,5.859065716547902,1999.162162162162,7.891891891891892,226.5810810810811,37.15412162162163,18.709135135135135,21.060054054054053,5.867229729729729,3.133608108108108,3,"{'Phase_3_fin': 30, 'Phase_2_pleine': 28, 'Phase_1_debut': 16}"
1,53,4.196357878068092,2009.0566037735848,7.547169811320755,214.81132075471697,38.665207547169814,18.276264150943394,22.159264150943404,6.546547169811319,3.3470566037735856,3,"{'Phase_1_debut': 18, 'Phase_3_fin': 18, 'Phase_2_pleine': 17}"
2,357,28.26603325415677,2002.4593837535015,8.058823529411764,231.2689075630252,41.36916806722689,21.1795406162465,22.219703081232492,6.16321568627451,3.2956358543417363,18,"{'Phase_3_fin': 154, 'Phase_2_pleine': 137, 'Phase_1_debut': 66}"
3,47,3.721298495645289,2012.0,7.76595744680851,223.4255319148936,37.61751063829787,19.713808510638298,21.309702127659577,6.617085106382978,3.4682978723404245,1,"{'Phase_3_fin': 18, 'Phase_2_pleine': 18, 'Phase_1_debut': 11}"
4,104,8.234362628661916,2000.6153846153845,7.596153846153846,215.84615384615384,37.57836538461539,19.264403846153847,21.405990384615386,6.267259615384615,3.245711538461539,4,"{'Phase_2_pleine': 38, 'Phase_3_fin': 34, 'Phase_1_debut': 32}"
5,73,5.779889152810768,2005.2739726027398,7.589041095890411,216.94520547945206,42.12323287671232,20.588301369863014,25.0685205479452,7.197219178082194,3.632232876712329,2,"{'Phase_2_pleine': 29, 'Phase_3_fin': 23, 'Phase_1_debut': 21}"
6,41,3.246239113222486,2008.9756097560976,7.780487804878049,224.21951219512195,46.29782926829268,24.36531707317073,22.634146341463413,6.0979024390243906,3.189195121951219,2,"{'Phase_2_pleine': 23, 'Phase_3_fin': 13, 'Phase_1_debut': 5}"
7,438,34.679334916864605,2003.2739726027398,7.812785388127854,222.87899543378995,38.521052511415526,19.84898173515982,22.70421689497717,6.312744292237443,3.3054520547945208,18,"{'Phase_2_pleine': 180, 'Phase_3_fin': 161, 'Phase_1_debut': 97}"
8,76,6.01741884402217,2010.342105263158,7.7368421052631575,220.6578947368421,39.05717105263157,19.824039473684206,22.44153947368421,6.288907894736842,3.2067368421052636,2,"{'Phase_2_pleine': 28, 'Phase_3_fin': 28, 'Phase_1_debut': 20}"
