date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2022-07-22,Phase_2_pleine,2,81.951,32.64894534880857,36.889,7.137,3.846339999247373,2022,7,203
1987-08-06,Phase_2_pleine,4,68.318,33.24722638762141,36.889,6.287,3.5620057534277496,1987,8,218
1983-08-21,Phase_2_pleine,4,55.453,31.31001959651349,36.889,5.541,2.9286666039261533,1983,8,233
2008-07-21,Phase_2_pleine,2,49.565,26.22119495345325,36.444,7.132,3.4495417846213727,2008,7,203
2010-08-16,Phase_2_pleine,2,50.054,26.61032730523794,36.222,6.957,2.9254925968610994,2010,8,228
1985-07-19,Phase_2_pleine,1,34.721,19.5410607295966,35.333,7.655,3.4152481842152262,1985,7,200
2013-08-29,Phase_2_pleine,1,79.875,48.1417200580333,35.333,7.084,3.974580787477603,2013,8,241
2005-07-20,Phase_2_pleine,1,43.51,23.552158862729616,35.111,6.236,3.5947145862393963,2005,7,201
1997-08-23,Phase_2_pleine,4,68.765,31.646727580058425,35.111,4.721,2.912820980404508,1997,8,235
1989-08-11,Phase_2_pleine,2,54.91,28.89220373190133,34.889,6.752,3.4889404212285497,1989,8,223
2017-08-26,Phase_2_pleine,1,51.027,29.962342177227043,34.889,4.4,3.01731493104422,2017,8,238
1989-08-16,Phase_2_pleine,2,83.036,45.26300930365538,34.667,6.731,3.363337246988964,1989,8,228
2007-07-31,Phase_2_pleine,1,60.393,30.651040790927027,34.444,8.087,3.507959157698089,2007,7,212
2012-08-01,Phase_2_pleine,3,50.303,30.68283310184231,34.222,7.036,4.091693868318787,2012,8,214
2005-07-03,Phase_2_pleine,1,43.263,23.16044030781665,34.0,5.708,3.122643847440838,2005,7,184
2008-08-23,Phase_2_pleine,2,66.341,38.427739331596776,33.778,6.245,3.40443932257569,2008,8,236
2005-08-01,Phase_2_pleine,1,50.182,22.33096960838268,33.556,5.119,2.737005260977877,2005,8,213
2004-07-06,Phase_2_pleine,1,27.757,16.355006062254613,32.667,6.313,3.209885663097037,2004,7,188
1992-08-30,Phase_2_pleine,0,59.383,29.80868732037188,32.667,5.27,2.858097846929029,1992,8,243
1998-07-20,Phase_2_pleine,5,54.119,25.75647303176253,32.444,5.305,3.031846065461017,1998,7,201
2021-07-29,Phase_2_pleine,2,50.098,26.6939769942185,32.222,6.406,3.477785674234084,2021,7,210
2017-08-23,Phase_2_pleine,1,95.478,45.52244867218865,32.0,6.311,3.5319959687391664,2017,8,235
1996-08-24,Phase_2_pleine,1,60.803,34.093885289298164,32.0,5.926,2.8530089569795845,1996,8,237
2008-08-27,Phase_2_pleine,2,62.132,30.34537918700112,32.0,4.14,2.540385711403563,2008,8,240
2003-08-08,Phase_2_pleine,1,68.328,41.36521040643012,31.778,8.966,4.854117220895118,2003,8,220
2016-08-16,Phase_2_pleine,5,56.677,27.833188697174712,31.778,5.793,2.773598665290881,2016,8,229
2009-08-28,Phase_2_pleine,0,132.572,34.83324319543973,31.556,6.78,3.6106208796535935,2009,8,240
1993-08-16,Phase_2_pleine,0,72.343,32.36373722721154,31.556,6.285,3.3292007091355504,1993,8,228
1985-07-18,Phase_2_pleine,1,39.12,23.27047918183463,31.111,5.203,2.879527793159193,1985,7,199
1985-08-01,Phase_2_pleine,1,63.674,32.734530140170094,30.889,7.78,4.009671016639801,1985,8,213
2008-07-01,Phase_2_pleine,2,37.407,16.850826472687206,30.889,4.56,2.821773341109401,2008,7,183
1989-07-16,Phase_2_pleine,2,49.085,25.019643880318903,30.667,8.605,3.40815731414624,1989,7,197
2013-08-12,Phase_2_pleine,2,48.174,25.13771030868309,30.667,6.062,3.636305172845237,2013,8,224
2004-07-24,Phase_2_pleine,1,42.138,21.77207677260689,30.667,4.543,2.566034433204804,2004,7,206
2016-07-27,Phase_2_pleine,5,51.763,21.781032334203307,30.667,4.265,2.749618571904087,2016,7,209
2020-07-14,Phase_2_pleine,1,66.538,23.513566914726702,30.222,6.799,3.4341306757477685,2020,7,196
1994-08-14,Phase_2_pleine,0,81.362,39.55539358363432,30.222,6.321,3.084610317974592,1994,8,226
1999-08-21,Phase_2_pleine,2,43.871,23.471298161674948,30.222,4.532,2.798670138357658,1999,8,233
2020-08-26,Phase_2_pleine,1,82.865,34.624782420970774,30.0,5.867,3.5287306784596733,2020,8,239
2015-07-09,Phase_2_pleine,0,67.34,26.36629339830199,29.778,7.036,3.4454736758391684,2015,7,190
1992-07-10,Phase_2_pleine,0,42.02,18.37303779018459,29.778,6.995,3.0665989549340544,1992,7,192
2023-08-24,Phase_2_pleine,4,82.866,33.264643425331975,29.556,5.773,2.924175999777946,2023,8,236
2002-08-28,Phase_2_pleine,1,44.331,28.086890815792227,29.556,3.638,2.5695512211526337,2002,8,240
2021-08-16,Phase_2_pleine,2,67.992,36.37199306488037,29.111,6.826,3.750169037555573,2021,8,228
2001-08-25,Phase_2_pleine,1,44.619,27.86814713660087,29.111,6.058,3.247094813779352,2001,8,237
2001-07-04,Phase_2_pleine,1,44.676,19.91256756818932,29.111,4.736,2.83680137390865,2001,7,185
2022-08-03,Phase_2_pleine,2,89.737,36.64807101029616,28.889,7.292,3.1641550754414567,2022,8,215
1983-07-09,Phase_2_pleine,4,32.494,19.79824813696054,28.889,7.004,3.614266547258631,1983,7,190
2003-08-18,Phase_2_pleine,1,69.106,32.06966982621413,28.889,6.021,3.1721263298685645,2003,8,230
