k,Inertie,Silhouette,Davies-Bouldin,Methode(s)
2,213636480.0,0.05854634568095207,3.802484325140838,
3,205937888.0,0.06032798811793327,3.708566218189039,
4,199795296.0,0.06872906535863876,3.0980888053510776,
5,196283872.0,0.06553096324205399,3.3471122912340086,
6,189667568.0,0.07899229973554611,2.9875027507956116,coude
7,186818144.0,0.0770755186676979,3.357024086805764,
8,181165440.0,0.09367953985929489,2.717711561057859,Davies-Bouldin
9,178150016.0,0.09365712851285934,2.9297454189408416,
10,173631344.0,0.09998352080583572,2.8871129851323114,silhouette
