cluster,n_events,percentage,mean_year,mean_month,mean_day_of_year,mean_max_precip,mean_mean_precip,mean_coverage_percent,mean_max_anomaly,mean_mean_anomaly,phase_distribution,years_range,n_years
0,67,13.453815261044177,1998.4626865671642,7.507462686567164,214.47761194029852,57.06762686567164,29.790080287307916,19.038104477611945,5.552552238805969,3.1097710116086237,{'Phase_2_pleine': 67},"(np.int64(1986), np.int64(2015))",6
1,200,40.16064257028113,2005.825,7.475,212.015,51.93743500000001,27.46939747350346,20.946685,5.194095,3.0247172045950617,{'Phase_2_pleine': 200},"(np.int64(1984), np.int64(2020))",20
2,152,30.522088353413658,2003.7763157894738,7.592105263157895,216.31578947368422,52.67389473684211,27.876924006291503,22.751473684210527,5.567315789473684,3.107882779626956,{'Phase_2_pleine': 152},"(np.int64(1985), np.int64(2022))",13
3,18,3.614457831325301,2012.0,7.611111111111111,216.16666666666666,46.511944444444445,24.482357557013533,19.271611111111113,5.610222222222223,3.1282170870560275,{'Phase_2_pleine': 18},"(np.int64(2012), np.int64(2012))",1
4,38,7.630522088353414,2003.1052631578948,7.473684210526316,211.28947368421052,47.97013157894737,25.904040896613555,21.883105263157898,5.131263157894737,2.9551988969984477,{'Phase_2_pleine': 38},"(np.int64(1983), np.int64(2023))",4
5,23,4.618473895582329,2009.7391304347825,7.478260869565218,216.04347826086956,51.71269565217391,27.621847459536173,20.183521739130434,4.732521739130434,2.8020338925933,{'Phase_2_pleine': 23},"(np.int64(1998), np.int64(2016))",2
