k,Inertie,Silhouette,Davies-Bouldin,Gap,Gap_std,Méthode(s)
2,213636480.0,0.05854634568095207,3.802484325140838,1.1563509848083982,0.00487674278970165,
3,205937888.0,0.06032798811793327,3.708566218189039,1.167436966190646,0.004752621412348763,
4,199795296.0,0.06872906535863876,3.0980888053510776,1.1846560644483546,0.0030937605069717602,
5,196283872.0,0.06553096324205399,3.3471122912340086,1.192870229866955,0.0013984154660143524,
6,189667568.0,0.07899229973554611,2.9875027507956116,1.2144180320164963,0.004248915380553721,coude
7,186818144.0,0.0770755186676979,3.357024086805764,1.2284096116965024,0.00373731841310619,
8,181165440.0,0.09367953985929489,2.717711561057859,1.253846526479201,0.0031963298492707136,Davies-Bouldin
9,178150016.0,0.09365712851285934,2.9297454189408416,1.2616038793269944,0.001812264884239173,
10,173631344.0,0.09998352080583572,2.8871129851323114,1.280551614705331,0.00304622280867174,silhouette | Gap
