metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
coverage_percent,Couverture spatiale moy. (%),AMM,3,0.0309,0.7831,0.7844,0.1107,0.3221,0.3252,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,3,0.1451,0.1933,0.1961,0.2024,0.0683,0.07,82,81,,,,
n_events,Nombre d evenements,Nino12,3,-0.0791,0.48,0.509,-0.0435,0.6977,0.7165,82,72,,,,
n_events,Nombre d evenements,Nino3,3,-0.1727,0.1207,0.1527,-0.1428,0.2007,0.2384,82,70,,,,
n_events,Nombre d evenements,Nino34,3,-0.1669,0.134,0.1738,-0.1833,0.0993,0.1347,82,68,,,,
n_events,Nombre d evenements,Nino4,3,-0.1122,0.3158,0.3625,-0.1502,0.1781,0.2216,82,68,,,,
n_events,Nombre d evenements,IOD,3,-0.0125,0.9115,0.9131,0.0333,0.7664,0.7707,82,79,,,,
n_events,Nombre d evenements,IOBM,3,-0.045,0.6878,0.7051,-0.0745,0.5057,0.5308,82,73,,,,
n_events,Nombre d evenements,TNA,3,-0.0033,0.9767,0.9782,-0.0729,0.5152,0.5428,82,72,,,,
n_events,Nombre d evenements,TSA,3,0.2271,0.0402,0.0534,0.1615,0.1473,0.1723,82,73,*,,,
n_events,Nombre d evenements,ATL3,3,0.2164,0.0508,0.064,0.1731,0.1198,0.1402,82,74,,,,
n_events,Nombre d evenements,AMM,3,-0.1456,0.1919,0.2257,-0.1329,0.2341,0.2694,82,71,,,,
n_events,Nombre d evenements,AMO,3,0.0653,0.5597,0.5855,0.0279,0.8038,0.8163,82,72,,,,
max_precip,Precipitation max mensuel (mm),Nino12,4,-0.1973,0.0756,0.0756,-0.1651,0.1382,0.1382,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,4,-0.1211,0.2783,0.2783,-0.0264,0.8139,0.8139,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,4,-0.0926,0.4078,0.4078,0.0097,0.9308,0.9308,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,4,-0.1108,0.3217,0.3217,-0.0593,0.5969,0.5969,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,4,0.0637,0.5694,0.5694,0.0794,0.4781,0.4781,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,4,-0.0339,0.7626,0.7626,-0.002,0.9855,0.9855,82,82,,,,
max_precip,Precipitation max mensuel (mm),TNA,4,-0.1872,0.0921,0.0921,-0.1204,0.2814,0.2814,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,4,0.1198,0.2839,0.2839,0.1949,0.0793,0.0793,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,4,0.1495,0.1802,0.1802,0.232,0.036,0.036,82,82,,*,,*
max_precip,Precipitation max mensuel (mm),AMM,4,-0.2467,0.0255,0.0255,-0.2055,0.064,0.064,82,82,*,,*,
max_precip,Precipitation max mensuel (mm),AMO,4,-0.2507,0.0231,0.0231,-0.1407,0.2074,0.2074,82,82,*,,*,
mean_precip,Precipitation moy. (mm),Nino12,4,-0.1121,0.3162,0.3162,-0.1283,0.2506,0.2506,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino3,4,0.0558,0.6188,0.6188,0.0817,0.4656,0.4656,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,4,0.0615,0.5832,0.5832,0.1176,0.2927,0.2927,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino4,4,-0.0442,0.6932,0.6932,-0.018,0.8724,0.8724,82,82,,,,
mean_precip,Precipitation moy. (mm),IOD,4,0.0535,0.6332,0.6332,0.0194,0.8625,0.8625,82,82,,,,
mean_precip,Precipitation moy. (mm),IOBM,4,0.0688,0.5393,0.5393,0.106,0.3432,0.3432,82,82,,,,
mean_precip,Precipitation moy. (mm),TNA,4,-0.0593,0.5966,0.5966,-0.0536,0.6326,0.6326,82,82,,,,
mean_precip,Precipitation moy. (mm),TSA,4,0.1877,0.0913,0.0913,0.1717,0.123,0.123,82,82,,,,
mean_precip,Precipitation moy. (mm),ATL3,4,0.1844,0.0972,0.0972,0.171,0.1245,0.1245,82,82,,,,
mean_precip,Precipitation moy. (mm),AMM,4,-0.1779,0.1097,0.1097,-0.1573,0.1581,0.1581,82,82,,,,
mean_precip,Precipitation moy. (mm),AMO,4,-0.1171,0.2947,0.2947,-0.1267,0.2567,0.2567,82,82,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,4,-0.1389,0.2133,0.2221,-0.1072,0.3376,0.3469,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,4,-0.2232,0.0438,0.0495,-0.2,0.0717,0.0792,82,78,*,,*,
max_anomaly,Anomalie max moy. (sigma),Nino34,4,-0.2267,0.0405,0.0459,-0.232,0.036,0.041,82,78,*,*,*,*
max_anomaly,Anomalie max moy. (sigma),Nino4,4,-0.2522,0.0223,0.0269,-0.2572,0.0197,0.0239,82,77,*,*,*,*
max_anomaly,Anomalie max moy. (sigma),IOD,4,-0.0737,0.5103,0.5156,-0.012,0.9149,0.916,82,80,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,4,-0.1782,0.1092,0.1161,-0.1613,0.1477,0.1556,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TNA,4,-0.1141,0.3075,0.3168,-0.1161,0.299,0.3083,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,4,0.0475,0.6716,0.6775,0.0124,0.9117,0.9134,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,4,0.0303,0.787,0.7897,-0.0185,0.8687,0.8704,82,80,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,4,-0.1333,0.2324,0.2414,-0.0864,0.44,0.4487,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,4,-0.0903,0.4197,0.4286,-0.0366,0.7444,0.7491,82,79,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,4,-0.0387,0.7296,0.7313,-0.0058,0.9589,0.9592,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,4,-0.1194,0.2854,0.2885,-0.0542,0.6287,0.6309,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,4,-0.0844,0.4509,0.4538,-0.0049,0.9652,0.9655,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,4,-0.0977,0.3823,0.3853,-0.0047,0.9663,0.9665,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,4,-0.0693,0.5359,0.5359,-0.0038,0.9731,0.9731,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,4,-0.0173,0.8772,0.878,0.0489,0.6628,0.6648,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,4,0.1296,0.246,0.249,0.1793,0.107,0.1093,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,4,0.0697,0.5339,0.5364,0.0018,0.9874,0.9875,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,4,0.0235,0.8338,0.8338,0.0654,0.5591,0.5591,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,4,0.069,0.5378,0.5403,0.1724,0.1215,0.1238,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,4,0.1819,0.1019,0.1041,0.2355,0.0332,0.0343,82,81,,*,,*
n_events,Nombre d evenements,Nino12,4,-0.0494,0.6594,0.6781,-0.0032,0.9771,0.9784,82,73,,,,
n_events,Nombre d evenements,Nino3,4,-0.1057,0.3446,0.3804,-0.0377,0.7369,0.7552,82,71,,,,
n_events,Nombre d evenements,Nino34,4,-0.0743,0.5073,0.5412,-0.0613,0.5841,0.614,82,70,,,,
n_events,Nombre d evenements,Nino4,4,-0.0794,0.4783,0.5198,-0.1091,0.3292,0.3758,82,68,,,,
n_events,Nombre d evenements,IOD,4,0.1056,0.3448,0.3605,0.1607,0.1493,0.1627,82,77,,,,
n_events,Nombre d evenements,IOBM,4,0.0077,0.9451,0.9483,-0.0316,0.7781,0.7907,82,73,,,,
n_events,Nombre d evenements,TNA,4,-0.0292,0.7944,0.8062,-0.0675,0.5467,0.5704,82,73,,,,
n_events,Nombre d evenements,TSA,4,0.1383,0.2152,0.2431,0.0944,0.399,0.4271,82,73,,,,
n_events,Nombre d evenements,ATL3,4,0.0757,0.4993,0.516,0.1192,0.286,0.305,82,76,,,,
n_events,Nombre d evenements,AMM,4,-0.1182,0.2901,0.3226,-0.0881,0.431,0.4616,82,72,,,,
n_events,Nombre d evenements,AMO,4,0.0002,0.9989,0.999,-0.0048,0.966,0.9682,82,72,,,,
max_precip,Precipitation max mensuel (mm),Nino12,5,-0.1022,0.3611,0.3611,-0.0354,0.7522,0.7522,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,5,-0.0834,0.4561,0.4561,0.0897,0.4227,0.4227,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,5,-0.0681,0.543,0.543,0.0408,0.7157,0.7157,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,5,-0.0836,0.4552,0.4552,-0.0183,0.8707,0.8707,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,5,0.1198,0.2839,0.2839,0.1411,0.2061,0.2061,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,5,-0.0468,0.6762,0.6762,-0.0166,0.8825,0.8825,82,82,,,,
max_precip,Precipitation max mensuel (mm),TNA,5,-0.1921,0.0839,0.0839,-0.1225,0.273,0.273,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,5,0.1343,0.2291,0.2291,0.1566,0.1599,0.1599,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,5,0.1634,0.1424,0.1424,0.2403,0.0296,0.0296,82,82,,*,,*
max_precip,Precipitation max mensuel (mm),AMM,5,-0.2632,0.0169,0.0169,-0.2198,0.0472,0.0472,82,82,*,*,*,*
max_precip,Precipitation max mensuel (mm),AMO,5,-0.2083,0.0604,0.0604,-0.1117,0.3176,0.3176,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino12,5,0.0198,0.8601,0.8601,-0.0039,0.9722,0.9722,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino3,5,0.1021,0.3616,0.3616,0.1792,0.1073,0.1073,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,5,0.0629,0.5745,0.5745,0.1157,0.3006,0.3006,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino4,5,-0.0081,0.9425,0.9425,0.0288,0.7974,0.7974,82,82,,,,
mean_precip,Precipitation moy. (mm),IOD,5,0.1581,0.156,0.156,0.1521,0.1726,0.1726,82,82,,,,
mean_precip,Precipitation moy. (mm),IOBM,5,0.018,0.8727,0.8727,0.0331,0.7681,0.7681,82,82,,,,
mean_precip,Precipitation moy. (mm),TNA,5,-0.0207,0.8538,0.8538,-0.0282,0.8014,0.8014,82,82,,,,
mean_precip,Precipitation moy. (mm),TSA,5,0.2359,0.0329,0.0329,0.164,0.141,0.141,82,82,*,,*,
mean_precip,Precipitation moy. (mm),ATL3,5,0.2796,0.011,0.011,0.2196,0.0475,0.0475,82,82,*,*,*,*
mean_precip,Precipitation moy. (mm),AMM,5,-0.1924,0.0833,0.0833,-0.1487,0.1825,0.1825,82,82,,,,
mean_precip,Precipitation moy. (mm),AMO,5,-0.0796,0.4774,0.4774,-0.097,0.3858,0.3858,82,82,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,5,-0.1529,0.1704,0.1787,-0.1226,0.2726,0.2818,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,5,-0.1474,0.1864,0.195,-0.1088,0.3305,0.3398,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),Nino34,5,-0.165,0.1385,0.1488,-0.1605,0.1497,0.1603,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),Nino4,5,-0.216,0.0513,0.0576,-0.1926,0.0831,0.0912,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),IOD,5,0.1062,0.3422,0.3515,0.0841,0.4525,0.4612,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,5,-0.2144,0.0531,0.0578,-0.1765,0.1128,0.1198,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TNA,5,-0.0222,0.843,0.8459,-0.0334,0.7655,0.7698,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,5,0.0776,0.4883,0.4966,0.0363,0.7463,0.751,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,5,0.0444,0.6922,0.6978,0.0254,0.8206,0.8239,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,5,-0.0764,0.4949,0.5032,-0.044,0.6945,0.7001,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,5,0.0342,0.7604,0.7648,0.0685,0.5409,0.5487,82,79,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,5,0.0015,0.9893,0.9894,0.1126,0.3139,0.3169,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,5,-0.0992,0.3751,0.3781,-0.0068,0.9515,0.9518,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,5,-0.0604,0.59,0.5924,0.0274,0.8071,0.8083,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,5,-0.0615,0.5833,0.5857,0.0387,0.73,0.7316,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,5,-0.113,0.3121,0.3151,-0.0326,0.771,0.7724,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,5,0.0184,0.8699,0.8707,0.0844,0.4509,0.4538,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,5,0.109,0.3295,0.3326,0.1759,0.114,0.1163,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,5,0.0842,0.452,0.4548,0.0026,0.9815,0.9816,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,5,-0.0302,0.788,0.7893,-0.0438,0.6962,0.6981,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,5,0.0305,0.7855,0.7868,0.1236,0.2687,0.2717,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,5,0.1325,0.2354,0.2384,0.1843,0.0974,0.0996,82,81,,,,
n_events,Nombre d evenements,Nino12,5,-0.0282,0.8017,0.813,0.0348,0.7565,0.7702,82,73,,,,
n_events,Nombre d evenements,Nino3,5,-0.0226,0.84,0.8503,0.0495,0.659,0.6799,82,72,,,,
n_events,Nombre d evenements,Nino34,5,-0.0284,0.7997,0.8138,-0.014,0.9009,0.908,82,71,,,,
n_events,Nombre d evenements,Nino4,5,-0.0716,0.5228,0.556,-0.0746,0.5052,0.5393,82,70,,,,
n_events,Nombre d evenements,IOD,5,0.1034,0.3554,0.3842,0.1464,0.1892,0.2163,82,73,,,,
n_events,Nombre d evenements,IOBM,5,0.0105,0.9255,0.9293,-0.0076,0.946,0.9488,82,74,,,,
n_events,Nombre d evenements,TNA,5,-0.0913,0.4147,0.4424,-0.0958,0.3919,0.4201,82,73,,,,
n_events,Nombre d evenements,TSA,5,0.1407,0.2075,0.2352,0.1061,0.3428,0.3717,82,73,,,,
n_events,Nombre d evenements,ATL3,5,0.0571,0.6104,0.629,0.0509,0.6495,0.6665,82,74,,,,
n_events,Nombre d evenements,AMM,5,-0.182,0.1016,0.1232,-0.1341,0.2297,0.258,82,73,,,,
n_events,Nombre d evenements,AMO,5,-0.0854,0.4456,0.4757,-0.0525,0.6396,0.6615,82,72,,,,
