metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
coverage_percent,Couverture spatiale moy. (%),ATL3,0,0.1567,0.1598,0.1624,0.1525,0.1714,0.1741,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,0,0.1068,0.3396,0.3427,0.1206,0.2806,0.2837,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,0,0.1842,0.0977,0.0998,0.1824,0.1009,0.1031,82,81,,,,
n_events,Nombre d evenements,Nino12,0,-0.1947,0.0796,0.1037,-0.2244,0.0427,0.06,82,71,,*,,
n_events,Nombre d evenements,Nino3,0,-0.1345,0.2284,0.2533,-0.1643,0.1403,0.162,82,74,,,,
n_events,Nombre d evenements,Nino34,0,-0.074,0.5091,0.5341,-0.1005,0.3689,0.3974,82,73,,,,
n_events,Nombre d evenements,Nino4,0,-0.1247,0.2642,0.3071,-0.1068,0.3397,0.3825,82,69,,,,
n_events,Nombre d evenements,IOD,0,0.1031,0.3567,0.3755,0.1064,0.3413,0.3602,82,76,,,,
n_events,Nombre d evenements,IOBM,0,0.0574,0.6082,0.6269,0.0254,0.8205,0.8296,82,74,,,,
n_events,Nombre d evenements,TNA,0,0.1818,0.1022,0.1265,0.156,0.1616,0.1907,82,72,,,,
n_events,Nombre d evenements,TSA,0,0.1064,0.3413,0.3702,0.1331,0.2331,0.2615,82,73,,,,
n_events,Nombre d evenements,ATL3,0,0.1242,0.2663,0.2952,0.1349,0.227,0.2553,82,73,,,,
n_events,Nombre d evenements,AMM,0,0.0614,0.5836,0.6032,0.0229,0.838,0.8462,82,74,,,,
n_events,Nombre d evenements,AMO,0,0.1268,0.2561,0.2849,0.132,0.2371,0.2655,82,73,,,,
max_precip,Precipitation max mensuel (mm),Nino12,1,-0.1696,0.1278,0.1278,-0.1551,0.1642,0.1642,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,1,-0.1551,0.164,0.164,-0.1512,0.1751,0.1751,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,1,-0.1178,0.2919,0.2919,-0.1121,0.316,0.316,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,1,-0.097,0.3862,0.3862,-0.064,0.5678,0.5678,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,1,-0.1783,0.109,0.109,-0.1322,0.2366,0.2366,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,1,-0.1722,0.1219,0.1219,-0.1419,0.2036,0.2036,82,82,,,,
max_precip,Precipitation max mensuel (mm),TNA,1,-0.0114,0.9191,0.9191,0.0115,0.9183,0.9183,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,1,0.0531,0.6354,0.6354,0.0459,0.6825,0.6825,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,1,0.0892,0.4255,0.4255,0.0999,0.3717,0.3717,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMM,1,-0.0458,0.6828,0.6828,0.0178,0.8736,0.8736,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMO,1,0.0549,0.6244,0.6244,0.0613,0.5841,0.5841,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino12,1,-0.1092,0.3288,0.3288,-0.0433,0.6996,0.6996,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino3,1,-0.1442,0.1961,0.1961,-0.1272,0.2546,0.2546,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,1,-0.1093,0.3281,0.3281,-0.0979,0.3814,0.3814,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino4,1,-0.0242,0.8293,0.8293,-0.008,0.9434,0.9434,82,82,,,,
