metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
n_events,Nombre d evenements,Nino12,12,-0.0388,0.7327,0.7327,-0.1152,0.3088,0.3088,80,80,,,0.9595,0.9602,,
n_events,Nombre d evenements,Nino3,12,-0.0987,0.3836,0.3836,-0.1162,0.3045,0.3045,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino34,12,-0.1222,0.2802,0.2802,-0.1273,0.2604,0.2604,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino4,12,-0.1023,0.3666,0.3666,-0.1336,0.2376,0.2376,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,IOD,12,-0.0839,0.4596,0.4596,-0.1074,0.3429,0.3429,80,80,,,0.9264,0.9602,,
n_events,Nombre d evenements,IOBM,12,0.0113,0.9208,0.9208,-0.0844,0.4568,0.4568,80,80,,,0.9796,0.9602,,
n_events,Nombre d evenements,TNA,12,0.1432,0.2052,0.2052,0.1535,0.174,0.174,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,TSA,12,0.0346,0.7606,0.7606,0.0569,0.6163,0.6163,80,80,,,0.9761,0.9806,,
n_events,Nombre d evenements,ATL3,12,0.0266,0.8146,0.8146,0.0656,0.5633,0.5633,80,80,,,0.9796,0.9806,,
n_events,Nombre d evenements,AMM,12,0.0863,0.4466,0.4466,0.1056,0.3512,0.3512,80,80,,,0.9264,0.9602,,
n_events,Nombre d evenements,AMO,12,0.1914,0.089,0.089,0.1812,0.1078,0.1078,80,80,,,0.9165,0.9602,,
