metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
mean_precip,Precipitation moy. (mm),IOD,6,-0.0442,0.7146,0.7146,-0.0076,0.9495,0.9495,71,71,,,0.9565,0.9987,,
mean_precip,Precipitation moy. (mm),IOBM,6,-0.0532,0.6595,0.6595,-0.0839,0.4868,0.4868,71,71,,,0.9402,0.9602,,
mean_precip,Precipitation moy. (mm),TNA,6,-0.2301,0.0535,0.0535,-0.2321,0.0515,0.0515,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),TSA,6,0.1434,0.2329,0.2329,0.1471,0.2208,0.2208,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),ATL3,6,0.1067,0.3759,0.3759,0.0617,0.609,0.609,71,71,,,0.9165,0.9806,,
mean_precip,Precipitation moy. (mm),AMM,6,-0.2753,0.0201,0.0201,-0.2898,0.0142,0.0142,71,71,*,*,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),AMO,6,-0.208,0.0817,0.0817,-0.1967,0.1002,0.1002,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino12,6,-0.1167,0.3324,0.3324,-0.2217,0.0631,0.0631,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino3,6,-0.0599,0.6196,0.6196,-0.0833,0.49,0.49,71,71,,,0.9298,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino34,6,-0.0798,0.508,0.508,-0.0611,0.6125,0.6125,71,71,,,0.9298,0.9806,,
max_anomaly,Anomalie max moy. (sigma),Nino4,6,-0.1157,0.3367,0.3367,-0.1047,0.3851,0.3851,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),IOD,6,0.0125,0.9179,0.9179,-0.0222,0.8544,0.8544,71,71,,,0.9796,0.9987,,
max_anomaly,Anomalie max moy. (sigma),IOBM,6,0.0424,0.7257,0.7257,0.0037,0.9756,0.9756,71,71,,,0.9565,0.9987,,
max_anomaly,Anomalie max moy. (sigma),TNA,6,0.0519,0.6671,0.6671,-0.0144,0.9052,0.9052,71,71,,,0.9402,0.9987,,
max_anomaly,Anomalie max moy. (sigma),TSA,6,-0.0081,0.9467,0.9467,-0.1053,0.3821,0.3821,71,71,,,0.9877,0.9602,,
max_anomaly,Anomalie max moy. (sigma),ATL3,6,-0.032,0.7912,0.7912,-0.1031,0.3921,0.3921,71,71,,,0.9796,0.9602,,
max_anomaly,Anomalie max moy. (sigma),AMM,6,0.0436,0.7181,0.7181,0.0352,0.7704,0.7704,71,71,,,0.9565,0.9987,,
max_anomaly,Anomalie max moy. (sigma),AMO,6,0.0017,0.989,0.989,-0.0823,0.4952,0.4952,71,71,,,0.9944,0.9602,,
coverage_percent,Couverture spatiale moy. (%),Nino12,6,0.1338,0.266,0.2881,0.0491,0.6845,0.6979,71,65,,,0.9165,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino3,6,0.1004,0.4047,0.4261,0.0196,0.8712,0.8769,71,65,,,0.9165,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino34,6,0.113,0.3482,0.3702,0.0526,0.663,0.6772,71,65,,,0.9165,0.9969,,
coverage_percent,Couverture spatiale moy. (%),Nino4,6,0.0623,0.6058,0.6248,0.0057,0.9624,0.9643,71,64,,,0.9298,0.9987,,
coverage_percent,Couverture spatiale moy. (%),IOD,6,0.0017,0.9891,0.9892,-0.0343,0.7762,0.7778,71,70,,,0.9944,0.9987,,
coverage_percent,Couverture spatiale moy. (%),IOBM,6,-0.0752,0.533,0.5515,-0.082,0.4965,0.516,71,65,,,0.9298,0.9702,,
coverage_percent,Couverture spatiale moy. (%),TNA,6,-0.0117,0.9227,0.9262,0.0396,0.743,0.7541,71,65,,,0.9796,0.9987,,
coverage_percent,Couverture spatiale moy. (%),TSA,6,-0.0171,0.8873,0.8914,0.0226,0.8514,0.8568,71,66,,,0.9796,0.9987,,
coverage_percent,Couverture spatiale moy. (%),ATL3,6,0.0477,0.6929,0.7083,-0.0088,0.942,0.9451,71,64,,,0.9565,0.9987,,
coverage_percent,Couverture spatiale moy. (%),AMM,6,0.0046,0.9694,0.9705,-0.0078,0.9484,0.9504,71,66,,,0.9885,0.9987,,
coverage_percent,Couverture spatiale moy. (%),AMO,6,0.0129,0.9149,0.9193,0.0188,0.8765,0.8829,71,64,,,0.9796,0.9987,,
n_events,Nombre d evenements,Nino12,6,-0.1647,0.1442,0.1442,-0.1172,0.3006,0.3006,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino3,6,-0.2197,0.0502,0.0502,-0.1891,0.093,0.093,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino34,6,-0.2111,0.0602,0.0602,-0.195,0.083,0.083,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino4,6,-0.2232,0.0466,0.0466,-0.2191,0.0509,0.0509,80,80,*,,0.9165,0.9602,,
n_events,Nombre d evenements,IOD,6,-0.1151,0.3093,0.3093,-0.0741,0.5138,0.5138,80,80,,,0.9165,0.9702,,
n_events,Nombre d evenements,IOBM,6,-0.1593,0.158,0.158,-0.2034,0.0704,0.0704,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,TNA,6,0.0594,0.6007,0.6007,0.0551,0.6273,0.6273,80,80,,,0.9298,0.9806,,
n_events,Nombre d evenements,TSA,6,0.0992,0.3813,0.3813,0.0921,0.4167,0.4167,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,ATL3,6,-0.0841,0.4583,0.4583,-0.1149,0.31,0.31,80,80,,,0.9264,0.9602,,
n_events,Nombre d evenements,AMM,6,-0.0336,0.7675,0.7675,-0.02,0.8603,0.8603,80,80,,,0.9784,0.9987,,
