event_date,selection_label,pixel_id,longitude,latitude,precipitation_mm,climatology_mm,anomaly_standardized,anomaly_mm,is_extreme,is_intense,intensity_category,anomaly_category,year,month,day,day_of_year,season_phase,phase_description,region,climate_zone,distance_to_coast_km,cluster,criterion,phase
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_000_003,-16.625,12.375,8.461650848388672,17.08795738220215,-0.4739924371242523,-8.626306533813477,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.14188,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_000_004,-16.375,12.375,9.423874855041504,15.582767486572266,-0.3891988694667816,-6.158892631530762,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.32527,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_000_020,-12.375,12.375,79.6493911743164,12.472472190856934,4.197141170501709,67.17691898345947,True,True,tres forte,exceptionnelle,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,557.2596,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_003,-16.625,12.625,7.654501914978027,16.082820892333984,-0.4818795323371887,-8.428318977355957,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,95.04989,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_004,-16.375,12.625,7.979987621307373,14.60333251953125,-0.457539439201355,-6.623344898223877,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.20701,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_005,-16.125,12.625,8.214194297790527,12.859160423278809,-0.34404468536376953,-4.644966125488281,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,149.36412,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_006,-15.875,12.625,6.061162948608398,12.5855131149292,-0.48509567975997925,-6.524350166320801,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,176.52124,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_007,-15.625,12.625,11.009543418884277,12.485808372497559,-0.11615370959043503,-1.4762649536132812,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,203.67834,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_008,-15.375,12.625,10.7752685546875,12.774176597595215,-0.14254194498062134,-1.9989080429077148,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,230.83545,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_018,-12.875,12.625,142.5600128173828,12.313057899475098,5.513251304626465,130.24695491790771,True,True,extreme,exceptionnelle,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,502.40656,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_019,-12.625,12.625,84.71589660644531,11.11452865600586,4.482761859893799,73.60136795043945,True,True,tres forte,exceptionnelle,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,529.56366,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_020,-12.375,12.625,72.17436218261719,9.503745079040527,4.503129005432129,62.67061710357666,True,True,tres forte,exceptionnelle,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,556.7208,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_021,-12.125,12.625,39.900001525878906,8.81861686706543,2.992535352706909,31.081384658813477,True,True,forte,tres humide,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,583.87787,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_022,-11.875,12.625,38.868499755859375,8.619332313537598,3.0816657543182373,30.249167442321777,True,True,forte,exceptionnelle,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,611.03503,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_001_023,-11.625,12.625,24.547718048095703,8.561247825622559,1.6996711492538452,15.986470222473145,False,True,forte,humide,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kédougou,Zone soudanienne,638.19214,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_003,-16.625,12.875,7.517256259918213,15.78243350982666,-0.5243360996246338,-8.265177249908447,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,94.95609,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_004,-16.375,12.875,6.714364528656006,13.145428657531738,-0.4883847236633301,-6.431064128875732,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Ziguinchor,Zone soudanienne,122.08641,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_005,-16.125,12.875,0.0,11.382506370544434,-0.9337314963340759,-11.382506370544434,False,False,trace,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,149.21672,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_006,-15.875,12.875,0.0,10.526456832885742,-0.891514241695404,-10.526456832885742,False,False,trace,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,176.34703,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_007,-15.625,12.875,8.061312675476074,10.362593650817871,-0.20687229931354523,-2.301280975341797,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Sédhiou,Zone soudanienne,203.47736,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_008,-15.375,12.875,8.144736289978027,10.684046745300293,-0.21940405666828156,-2.5393104553222656,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,230.60765,2,plus_intense,All_phases
1985-08-06,C1_plus_intense + C2_plus_intense,1985-08-06_002_009,-15.125,12.875,13.1614990234375,12.495741844177246,0.05036139488220215,0.6657571792602539,False,False,moderee,normale,1985,8,6,218,Phase_2_pleine,Pleine saison (Juillet-Aout),Kolda,Zone soudanienne,257.73798,2,plus_intense,All_phases
