longitude,latitude,event_date,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-11.875,12.375,1985-08-06,1985-08-06_000_022,37.77286911010742,2.4607229232788086,10.33202838897705,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,37.809363149518354,2.4638859500837094,611.6263427734375
-11.625,12.375,1985-08-06,1985-08-06_000_023,23.142841339111328,1.1120703220367432,9.867966651916504,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,23.322510580321634,1.1157676954964302,638.8097534179688
-11.375,12.375,1985-08-06,1985-08-06_000_024,24.08959197998047,1.3173015117645264,9.508764266967773,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,24.18167762181269,1.3292906985211002,665.9931640625
-16.625,12.625,1985-08-06,1985-08-06_001_003,7.654501914978027,-0.4818795323371887,16.082820892333984,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,7.69927657189681,-0.48163902692159816,95.04988861083984
-16.375,12.625,1985-08-06,1985-08-06_001_004,7.979987621307373,-0.457539439201355,14.60333251953125,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.00348606660737,-0.4575041485341949,122.2070083618164
-16.125,12.625,1985-08-06,1985-08-06_001_005,8.214194297790527,-0.34404468536376953,12.859160423278809,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.283208561902082,-0.34175853214072227,149.36412048339844
-15.875,12.625,1985-08-06,1985-08-06_001_006,6.061162948608398,-0.48509567975997925,12.5855131149292,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,6.175961045164541,-0.4840361014682444,176.521240234375
-15.625,12.625,1985-08-06,1985-08-06_001_007,11.009543418884277,-0.11615370959043503,12.485808372497559,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,11.065590312133489,-0.10920913199234358,203.6783447265625
-15.375,12.625,1985-08-06,1985-08-06_001_008,10.7752685546875,-0.14254194498062134,12.774176597595215,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,10.830105805516839,-0.1344220947904798,230.83544921875
-15.125,12.625,1985-08-06,1985-08-06_001_009,19.837194442749023,0.4522174596786499,13.565380096435547,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,19.937869359500453,0.4818607997055609,257.9925842285156
-14.875,12.625,1985-08-06,1985-08-06_001_010,24.8153133392334,0.9891784191131592,12.180198669433594,False,True,forte,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,24.91949943082417,1.0157329509006672,285.1496887207031
-14.625,12.625,1985-08-06,1985-08-06_001_011,72.3752212524414,3.972876787185669,12.644758224487305,True,True,très forte,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,72.39111565824729,3.9811139076798425,312.3067932128906
-14.375,12.625,1985-08-06,1985-08-06_001_012,94.37946319580078,4.431075572967529,13.615887641906738,True,True,très forte,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,94.41412349681755,4.432627090856658,339.4638977050781
-14.125,12.625,1985-08-06,1985-08-06_001_013,169.8993682861328,5.234832286834717,16.476898193359375,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,169.93789945056093,5.23562480456865,366.6210021972656
-13.875,12.625,1985-08-06,1985-08-06_001_014,184.12982177734375,5.566276550292969,15.876715660095215,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,184.23635143490876,5.5686070859132695,393.77813720703125
-13.625,12.625,1985-08-06,1985-08-06_001_015,212.10394287109375,5.939140796661377,14.656878471374512,True,True,extrême,exceptionelle,Tambacounda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,212.10405528006243,5.939238172080649,420.93524169921875
-13.375,12.625,1985-08-06,1985-08-06_001_016,205.91635131835938,5.9585185050964355,13.729513168334961,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,205.97637862775807,5.95852874391642,448.09234619140625
-13.125,12.625,1985-08-06,1985-08-06_001_017,166.21377563476562,5.787354946136475,12.543877601623535,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,166.30637846520196,5.788328155201284,475.24945068359375
-12.875,12.625,1985-08-06,1985-08-06_001_018,142.5600128173828,5.513251304626465,12.313057899475098,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,142.72728771420572,5.514716826491621,502.40655517578125
-12.625,12.625,1985-08-06,1985-08-06_001_019,84.71589660644531,4.482761859893799,11.11452865600586,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,85.02103297554658,4.483188099597567,529.5636596679688
-12.375,12.625,1985-08-06,1985-08-06_001_020,72.17436218261719,4.503129005432129,9.503745079040527,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,72.19202566865701,4.506364542036201,556.7208251953125
-12.125,12.625,1985-08-06,1985-08-06_001_021,39.900001525878906,2.992535352706909,8.81861686706543,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,39.92452664590961,2.9971829335294187,583.8778686523438
-11.875,12.625,1985-08-06,1985-08-06_001_022,38.868499755859375,3.0816657543182373,8.619332313537598,True,True,forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,38.86867562490492,3.0823192620397215,611.0350341796875
-11.625,12.625,1985-08-06,1985-08-06_001_023,24.547718048095703,1.6996711492538452,8.561247825622559,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,24.600833696336615,1.72417804943257,638.192138671875
-11.375,12.625,1985-08-06,1985-08-06_001_024,25.3469295501709,1.8263431787490845,8.341277122497559,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,25.423423038655184,1.9051264596344852,665.3492431640625
-16.625,12.875,1985-08-06,1985-08-06_002_003,7.517256259918213,-0.5243360996246338,15.78243350982666,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,7.557947182775143,-0.5238384254014672,94.95609283447266
-16.375,12.875,1985-08-06,1985-08-06_002_004,6.714364528656006,-0.4883847236633301,13.145428657531738,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,6.805694129598796,-0.4871454346719099,122.08641052246094
-16.125,12.875,1985-08-06,1985-08-06_002_005,0.0,-0.9337314963340759,11.382506370544434,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,0.08147261018429101,-0.8916203151995213,149.2167205810547
-15.875,12.875,1985-08-06,1985-08-06_002_006,0.0,-0.891514241695404,10.526456832885742,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,0.08147261018429101,-0.7974763009416398,176.34703063964844
-15.625,12.875,1985-08-06,1985-08-06_002_007,8.061312675476074,-0.20687229931354523,10.362593650817871,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.081934023143058,-0.20589323405494642,203.47735595703125
-15.375,12.875,1985-08-06,1985-08-06_002_008,8.144736289978027,-0.21940405666828156,10.684046745300293,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,8.164282262025768,-0.21512184812495483,230.60765075683594
-15.125,12.875,1985-08-06,1985-08-06_002_009,13.1614990234375,0.05036139488220215,12.495741844177246,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,13.312656728466585,0.0515288748127881,257.73797607421875
-14.875,12.875,1985-08-06,1985-08-06_002_010,15.603368759155273,0.3411412835121155,11.27574634552002,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,15.732454175326092,0.3690498704886335,284.8682861328125
-14.625,12.875,1985-08-06,1985-08-06_002_011,44.84589767456055,2.378591299057007,10.771208763122559,True,True,forte,très humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,45.06030253309693,2.384729305104395,311.99859619140625
