longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-12.125,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_021,19.119165420532227,1.3685836791992188,7.038545608520508,False,False,modérée,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,19.152601059956712,1.371415703739952,584.4429321289062
-11.875,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_022,23.473737716674805,1.815556526184082,6.589859962463379,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,23.48923622303869,1.8222479562663543,611.6263427734375
-11.625,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_023,12.3220853805542,0.6236607432365417,6.349643230438232,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,12.324771579186521,0.6280530694142057,638.8097534179688
-11.375,12.375,1984-07-04,plus_petite_couverture,1984-07-04_000_024,0.9851486682891846,-0.5622323751449585,6.159881591796875,False,False,trace,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,1.0345833978461254,-0.558859917985734,665.9931640625
-16.625,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_003,2.914310932159424,-0.39204078912734985,6.600947380065918,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.9437048375307016,-0.39132141198345166,95.04988861083984
-16.375,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_004,0.43441641330718994,-0.6239446997642517,6.709638595581055,False,False,trace,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,0.49867065527930377,-0.6124130577298265,122.2070083618164
-16.125,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_005,2.3863723278045654,-0.3888542652130127,6.385684013366699,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.4442295441076376,-0.3862745727426442,149.36412048339844
-15.875,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_006,0.2722780704498291,-0.5781047344207764,6.454811096191406,False,False,trace,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,0.2750203157190102,-0.5777193209034713,176.521240234375
-15.625,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_007,2.7077600955963135,-0.3817603886127472,7.390889644622803,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.7293362270048522,-0.38041751333816565,203.6783447265625
-15.375,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_008,0.5838910937309265,-0.5444005131721497,7.908297538757324,False,False,trace,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,0.6016833096293346,-0.5441734985490541,230.83544921875
