event_date,year,month,day,season_phase,phase_description,total_pixels,extreme_pixels,intense_pixels,extreme_percentage,intense_percentage,precip_mean,precip_median,precip_max,precip_std,precip_p95,anomaly_mean,anomaly_median,anomaly_max,anomaly_std,regions_affected,main_region,centroid_lat,centroid_lon,event_type,spatial_extent,intensity_level
1985-08-06,1985,8,6,Phase_2_pleine,Pleine saison (Juillet-Août),398,76,85,19.09547738693467,21.35678391959799,18.207225303965895,0.0,231.35137939453125,40.73742381237055,108.88674812316866,0.5007822842225456,-0.44971492886543274,5.9625935554504395,1.8779926625050731,14,Matam,12.882954976163509,-13.37884395257463,très extrême,localisé,catastrophique
2005-10-30,2005,10,30,Phase_3_fin,Fin de saison (Septembre-Octobre),398,82,0,20.603015075376884,0.0,0.5404309412241028,0.0,5.419501304626465,0.9881084389940393,2.7082436323165875,0.5793634301528858,-0.3351978361606598,6.204427242279053,1.6825237936734598,14,Matam,15.113261992537053,-14.414514735559258,exceptionnellement extrême,localisé,faible
2012-09-28,2012,9,28,Phase_3_fin,Fin de saison (Septembre-Octobre),398,367,257,92.21105527638191,64.57286432160804,22.527285012767543,22.35648536682129,44.27000427246094,6.3740920427182495,33.3904821395874,3.1050493324072517,3.004927396774292,5.079472541809082,0.8331547648877473,14,Matam,14.270698939746529,-14.117326671354963,exceptionnellement extrême,localisé,modéré
1984-07-04,1984,7,4,Phase_2_pleine,Pleine saison (Juillet-Août),398,46,6,11.557788944723619,1.507537688442211,4.872809269245545,4.339572429656982,28.099899291992188,5.015338196525495,14.34304389953613,0.516531700687249,0.04763639159500599,5.5047926902771,1.2729484284850505,14,Matam,14.542911518279046,-13.211240518196668,très extrême,localisé,modéré
2022-05-27,2022,5,27,Phase_1_debut,Début de saison (Mai-Juin),398,340,78,85.42713567839196,19.597989949748744,10.302427061070599,6.971301317214966,37.51918411254883,10.114144560998522,29.987684631347644,4.6291733810668765,5.4649012088775635,6.404940128326416,2.0236184418942966,14,Matam,13.59128281155607,-13.477574666791359,exceptionnellement extrême,localisé,modéré
1990-08-04,1990,8,4,Phase_2_pleine,Pleine saison (Juillet-Août),398,67,72,16.834170854271356,18.090452261306535,13.61795953178226,11.74278450012207,50.41590881347656,8.996437477913743,31.867844867706285,1.1480758999235665,1.1521281003952026,3.6959493160247803,0.8664499029974126,14,Matam,14.105187764450728,-13.378552203902677,très extrême,localisé,élevé
