longitude,latitude,event_date,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-11.875,12.375,2009-08-28,2009-08-28_000_022,21.610380172729492,0.3545514941215515,16.667253494262695,False,True,forte,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,21.621439392243197,0.3662498139556331,611.6263427734375
-11.625,12.375,2009-08-28,2009-08-28_000_023,12.286540985107422,-0.35460132360458374,18.215734481811523,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,12.308939222115368,-0.3338280820367325,638.8097534179688
-11.375,12.375,2009-08-28,2009-08-28_000_024,10.690861701965332,-0.4348130524158478,17.725175857543945,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,10.741438271412298,-0.43338306847229674,665.9931640625
-16.625,12.625,2009-08-28,2009-08-28_001_003,82.76788330078125,3.748305082321167,19.58730697631836,True,True,très forte,exceptionelle,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,82.89302051486567,3.753469956580118,95.04988861083984
-16.375,12.625,2009-08-28,2009-08-28_001_004,46.15499496459961,1.894084095954895,18.14354705810547,False,True,forte,humide,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,46.17351173515896,1.8997523748694953,122.2070083618164
-16.125,12.625,2009-08-28,2009-08-28_001_005,37.57585525512695,1.6296941041946411,15.972412109375,False,True,forte,humide,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,37.57763259734341,1.6382063408592835,149.36412048339844
-15.875,12.625,2009-08-28,2009-08-28_001_006,41.227508544921875,2.113569736480713,15.831929206848145,True,True,forte,très humide,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,41.25589312261072,2.115415139413958,176.521240234375
-15.625,12.625,2009-08-28,2009-08-28_001_007,37.59666061401367,2.0437493324279785,14.55911922454834,True,True,forte,très humide,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,37.63647380426303,2.0438602114442603,203.6783447265625
-15.375,12.625,2009-08-28,2009-08-28_001_008,34.526756286621094,1.5400058031082153,15.663655281066895,False,True,forte,humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,34.569179324049465,1.5427935351079434,230.83544921875
-15.125,12.625,2009-08-28,2009-08-28_001_009,14.150629997253418,-0.22739921510219574,17.519073486328125,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),2009,8,28,240,14.155488263422521,-0.22702222178928816,257.9925842285156
