longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-12.125,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_021,40.0551643371582,2.3368382453918457,11.745240211486816,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,40.06578652463365,2.3369324524797985,584.4429321289062
-11.875,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_022,32.966339111328125,1.8158137798309326,11.51970100402832,False,True,forte,humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,32.99187528907355,1.8168170059745634,611.6263427734375
-11.625,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_023,41.5945930480957,2.1981959342956543,12.258378982543945,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,41.65594991367656,2.1984714383455977,638.8097534179688
-11.375,12.375,1990-08-04,plus_petite_anomalie,1990-08-04_000_024,36.00923156738281,2.001469612121582,10.892634391784668,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,36.03123316932563,2.001673305453967,665.9931640625
-16.625,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_003,9.60628890991211,0.0026520472019910812,9.567667007446289,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,9.645129409866716,0.024813119761982753,95.04988861083984
-16.375,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_004,4.908758163452148,-0.1748441457748413,7.063197135925293,False,False,faible,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,4.925401735545403,-0.1582641927665801,122.2070083618164
-16.125,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_005,6.4997782707214355,-0.01042622048407793,6.618259906768799,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,6.5087375568984145,-0.007086429447778044,149.36412048339844
-15.875,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_006,10.27138900756836,0.26598668098449707,7.33111572265625,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,10.284319489445519,0.2750764246562019,176.521240234375
-15.625,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_007,10.410345077514648,0.3073335289955139,7.354076862335205,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,10.445203908124759,0.31147659843291475,203.6783447265625
-15.375,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_008,10.66617202758789,0.3124071955680847,7.333824634552002,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,10.775499248025406,0.3193768280834409,230.83544921875
-15.125,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_009,18.519058227539062,1.027029275894165,7.814239978790283,False,False,modérée,humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,18.53081561332971,1.0274816646647813,257.9925842285156
-14.875,12.625,1990-08-04,plus_petite_anomalie,1990-08-04_001_010,20.845623016357422,1.3416539430618286,7.753961086273193,False,True,forte,humide,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1990,8,4,216,21.013896597090714,1.3480019512488015,285.1496887207031
