phase,cluster,criterion,date,n_pixels,max_precip,mean_precip,coverage_extreme_pct,max_anomaly,n_extreme_pixels
All_phases,0,plus_intense,1999-08-18,259,102.98931884765625,14.167352113541948,11.583011583011583,3.9809300899505615,30
All_phases,0,moins_intense,1999-05-18,259,8.946136474609375,1.209060381278108,16.988416988416986,6.3305745124816895,44
All_phases,0,plus_grande_couverture,1999-10-09,259,53.62025833129883,13.98547598938224,69.1119691119691,5.1379008293151855,179
All_phases,0,plus_petite_couverture,2000-06-10,259,17.620229721069336,2.628321410304216,14.285714285714285,6.404927730560303,37
All_phases,1,plus_intense,2015-08-07,259,96.33183288574219,8.978189053797815,13.513513513513514,4.857807636260986,35
All_phases,1,moins_intense,2015-05-04,259,5.6134114265441895,0.45719285450586294,30.501930501930502,6.207896709442139,79
All_phases,1,plus_grande_couverture,1992-06-08,259,40.142822265625,12.770099825380392,67.95366795366795,4.562358856201172,176
All_phases,1,plus_petite_couverture,2015-06-10,259,10.7920503616333,3.331374786880486,23.166023166023166,6.404940605163574,60
All_phases,2,plus_intense,1985-08-06,259,171.60330200195312,14.623977120088334,18.146718146718147,5.8648223876953125,47
All_phases,2,moins_intense,2005-10-30,259,5.419501304626465,0.6571956428638066,22.779922779922778,6.204427242279053,59
All_phases,2,plus_grande_couverture,2000-10-16,259,26.655160903930664,12.077944287922392,91.11969111969111,6.093733787536621,236
All_phases,2,plus_petite_couverture,1984-07-04,259,25.52987289428711,3.8726866810248164,3.088803088803089,4.122176647186279,8
All_phases,3,plus_intense,2012-09-05,259,79.01329803466797,12.827082182852457,11.196911196911197,3.3314194679260254,29
All_phases,3,moins_intense,2012-05-21,259,12.237082481384277,1.5726511196222546,17.374517374517374,4.6355791091918945,45
All_phases,3,plus_grande_couverture,2012-09-28,259,41.33127975463867,23.589084039783845,92.66409266409266,5.079472541809082,240
All_phases,3,plus_petite_couverture,2012-08-27,259,38.823402404785156,11.668235097871554,2.7027027027027026,2.9396066665649414,7
All_phases,4,plus_intense,1987-09-17,259,102.44486236572266,24.293640480970094,42.471042471042466,5.520201206207275,110
All_phases,4,moins_intense,1997-10-27,259,5.591547012329102,1.4643584257243454,15.83011583011583,6.371708393096924,41
All_phases,4,plus_grande_couverture,2023-08-15,259,51.75069808959961,27.090743492008638,58.301158301158296,4.336721897125244,151
All_phases,4,plus_petite_couverture,2023-10-07,259,23.690542221069336,3.6260783278372526,11.583011583011583,4.60177755355835,30
All_phases,5,plus_intense,2022-08-03,259,89.7369155883789,21.675784742970265,39.38223938223938,4.4465179443359375,102
All_phases,5,moins_intense,1989-10-31,259,6.668117046356201,0.9326135333498012,10.038610038610038,3.4063329696655273,26
All_phases,5,plus_grande_couverture,2022-05-27,259,37.51918411254883,11.203209606750821,86.10038610038609,6.404940128326416,223
All_phases,5,plus_petite_couverture,2022-07-31,259,66.02354431152344,8.815156217017229,12.355212355212355,4.09713077545166,32
All_phases,6,plus_intense,1998-09-08,259,58.9674186706543,10.262020029156364,6.177606177606178,4.567511081695557,16
All_phases,6,moins_intense,2016-10-30,259,7.885073184967041,1.0109295409503591,13.513513513513514,4.453381538391113,35
All_phases,6,plus_grande_couverture,1998-09-11,259,68.55294036865234,26.01331388536107,62.16216216216216,5.93085241317749,161
All_phases,6,plus_petite_couverture,2016-08-26,259,47.855384826660156,6.308344642081546,2.7027027027027026,3.2603814601898193,7
All_phases,7,plus_intense,2009-08-28,259,132.57249450683594,22.65994594070672,39.38223938223938,4.5664167404174805,102
All_phases,7,moins_intense,1994-05-16,259,4.369012355804443,0.4456190676734024,5.405405405405405,4.211907386779785,14
All_phases,7,plus_grande_couverture,2018-06-27,259,37.518516540527344,18.788722058520815,86.87258687258688,4.4609150886535645,225
All_phases,7,plus_petite_couverture,2002-09-25,259,20.00276756286621,3.566547200141266,10.424710424710424,3.7021398544311523,27
All_phases,8,plus_intense,2011-08-21,259,97.63451385498047,14.91243089217707,13.8996138996139,3.924959421157837,36
All_phases,8,moins_intense,2011-05-15,259,7.778757095336914,0.7754171279947405,18.91891891891892,6.404941558837891,49
All_phases,8,plus_grande_couverture,2010-07-20,259,45.76051712036133,21.091645682640518,36.67953667953668,3.4634034633636475,95
All_phases,8,plus_petite_couverture,2010-07-04,259,62.76824188232422,6.524241552562327,7.335907335907336,4.482478618621826,19
